================================================================================
BASELINE ADAMW PROFILING SUMMARY - facebook/opt-2.7b
================================================================================

Model: facebook/opt-2.7b
Task: SST2
Batch Size: 4
Max Length: 512
Steps: 5
Dtype: float16
torch.compile: False

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.01%     142.000us        78.48%     896.455ms     179.291ms       0.000us         0.00%     450.844ms      90.169ms       3.12 Kb           0 b       3.00 Kb           0 b             5            --  
                                  cudaStreamSynchronize        26.91%     307.414ms        26.91%     307.414ms       1.757ms     524.000us         0.04%     524.000us       2.994us           0 b           0 b           0 b           0 b           175            --  
                                          backward_pass        26.11%     298.206ms        26.13%     298.457ms      59.691ms       0.000us         0.00%       3.000us       0.600us      -1.25 Kb      -1.25 Kb      47.74 Gb      47.74 Gb             5            --  
                                             aten::item         0.43%       4.924ms        20.62%     235.567ms      44.031us       0.000us         0.00%      13.000us       0.002us           0 b           0 b           0 b           0 b          5350            --  
                              aten::_local_scalar_dense         0.02%     204.000us        20.19%     230.652ms      43.113us      13.000us         0.00%      13.000us       0.002us           0 b           0 b           0 b           0 b          5350            --  
                                           forward_pass         3.99%      45.614ms        19.40%     221.635ms      44.327ms       0.000us         0.00%     158.637ms      31.727ms       1.25 Kb        -342 b       2.27 Gb      -2.64 Gb             5            --  
                                        training_step_3         0.05%     547.000us        18.28%     208.792ms     208.792ms       0.000us         0.00%      84.491ms      84.491ms         704 b           0 b           0 b           0 b             1            --  
                                        training_step_7         0.05%     533.000us        16.11%     184.041ms     184.041ms       0.000us         0.00%     105.300ms     105.300ms       1.38 Kb           0 b       2.00 Kb           0 b             1            --  
                                        training_step_4         0.05%     528.000us        14.80%     169.081ms     169.081ms       0.000us         0.00%      85.587ms      85.587ms         448 b           0 b       1.00 Kb           0 b             1            --  
                                        training_step_5         0.05%     546.000us        14.72%     168.155ms     168.155ms       0.000us         0.00%      85.903ms      85.903ms         384 b           0 b           0 b           0 b             1            --  
                                        training_step_6         0.06%     689.000us        14.55%     166.244ms     166.244ms       0.000us         0.00%      89.563ms      89.563ms         256 b           0 b           0 b           0 b             1            --  
                                            aten::copy_         1.00%      11.425ms         8.70%      99.425ms      58.485us       3.547ms         0.29%       4.893ms       2.878us           4 b           4 b           0 b           0 b          1700            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.92%      10.512ms         8.25%      94.252ms      98.179us       0.000us         0.00%     166.718ms     173.665us           0 b           0 b      47.07 Gb      -2.01 Gb           960            --  
                                         optimizer_step         0.10%       1.135ms         8.23%      94.056ms      18.811ms       0.000us         0.00%     292.191ms      58.438ms           0 b           0 b     -50.01 Gb           0 b             5            --  
                              Optimizer.step#AdamW.step         2.54%      28.959ms         7.81%      89.245ms      17.849ms       0.000us         0.00%     292.191ms      58.438ms           0 b         -20 b           0 b     -49.93 Gb             5            --  
                                               aten::to        -0.00%     -49.000us         7.34%      83.791ms     217.639us       0.000us         0.00%     787.000us       2.044us         560 b         -42 b     132.50 Kb       3.50 Kb           385            --  
                                         aten::_to_copy         0.28%       3.153ms         7.29%      83.308ms     241.472us       0.000us         0.00%     703.000us       2.038us         622 b         222 b     132.50 Kb           0 b           345            --  
                                         AddmmBackward0         0.99%      11.350ms         5.86%      66.969ms      69.759us       0.000us         0.00%     161.268ms     167.988us           0 b           0 b      49.07 Gb           0 b           960            --  
                                       cudaLaunchKernel         4.91%      56.069ms         4.91%      56.069ms       3.874us       2.306ms         0.19%       2.306ms       0.159us           0 b           0 b           0 b           0 b         14473            --  
                                           aten::linear         0.65%       7.463ms         4.69%      53.518ms      55.459us       0.000us         0.00%     141.895ms     147.041us           0 b           0 b       1.57 Gb      56.99 Mb           965            --  
                                           data_loading         0.01%     146.000us         4.26%      48.675ms       9.735ms       0.000us         0.00%       0.000us       0.000us       3.12 Kb      -5.06 Kb       3.00 Kb      -9.00 Kb             5            --  
                                               aten::mm         3.02%      34.494ms         4.17%      47.674ms      24.638us     172.256ms        14.30%     172.256ms      89.021us           0 b           0 b      51.57 Gb      51.57 Gb          1935   5679377.940  
     autograd::engine::evaluate_function: ViewBackward0         0.78%       8.945ms         3.70%      42.301ms      13.869us       0.000us         0.00%       2.407ms       0.789us           0 b           0 b    -422.13 Mb      -1.30 Gb          3050            --  
                                            aten::addmm         2.16%      24.719ms         3.45%      39.369ms      41.009us     141.116ms        11.72%     143.455ms     149.432us           0 b           0 b       1.47 Gb       1.47 Gb           960   2637378.355  
                                          aten::reshape         0.53%       6.006ms         2.89%      32.955ms       7.865us       0.000us         0.00%       2.091ms       0.499us           0 b           0 b     854.27 Mb           0 b          4190            --  
                                            aten::clone         0.60%       6.859ms         2.77%      31.594ms      24.210us       0.000us         0.00%       3.775ms       2.893us           0 b           0 b       1.41 Gb    -112.07 Mb          1305            --  
                                          ViewBackward0         0.48%       5.489ms         2.41%      27.477ms       9.009us       0.000us         0.00%       1.537ms       0.504us           0 b           0 b     680.66 Mb      69.11 Mb          3050            --  
                                              aten::bmm         1.62%      18.477ms         2.16%      24.633ms      25.659us       4.749ms         0.39%       5.298ms       5.519us           0 b           0 b     858.54 Mb     858.54 Mb           960     16927.949  
      autograd::engine::evaluate_function: BmmBackward0         0.20%       2.293ms         1.95%      22.257ms      69.553us       0.000us         0.00%       3.187ms       9.959us           0 b           0 b    -143.94 Mb    -782.25 Mb           320            --  
                                           BmmBackward0         0.31%       3.574ms         1.72%      19.686ms      61.519us       0.000us         0.00%       3.095ms       9.672us           0 b           0 b     621.78 Mb      16.53 Mb           320            --  
autograd::engine::evaluate_function: NativeLayerNorm...         0.39%       4.492ms         1.62%      18.541ms      57.049us       0.000us         0.00%       5.090ms      15.662us           0 b           0 b    -665.85 Mb      -1.35 Gb           325            --  
                                                aten::t         0.68%       7.810ms         1.45%      16.571ms       3.434us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4825            --  
                                              aten::add         1.10%      12.545ms         1.40%      15.954ms      16.280us       3.704ms         0.31%       3.852ms       3.931us          -8 b          -8 b       3.29 Gb       3.29 Gb           980       877.087  
                                              aten::sum         1.09%      12.504ms         1.38%      15.798ms      16.456us       5.450ms         0.45%       5.450ms       5.677us           0 b           0 b      14.06 Mb      14.06 Mb           960            --  
autograd::engine::evaluate_function: torch::autograd...         0.62%       7.097ms         1.35%      15.464ms       5.994us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2580            --  
                                            aten::empty         1.19%      13.609ms         1.34%      15.354ms       3.736us       0.000us         0.00%       0.000us       0.000us       9.10 Kb       9.10 Kb       5.16 Gb       5.16 Gb          4110            --  
                                    aten::_foreach_sqrt         0.51%       5.800ms         1.34%      15.311ms       3.062ms      31.212ms         2.59%      31.212ms       6.242ms           0 b           0 b      49.93 Gb           0 b             5            --  
                                        aten::transpose         1.18%      13.424ms         1.30%      14.892ms       2.108us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          7065            --  
                                       aten::empty_like         0.38%       4.349ms         1.22%      13.940ms       6.155us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.19 Gb     150.27 Mb          2265            --  
autograd::engine::evaluate_function: MaximumBackward...         0.11%       1.218ms         1.17%      13.418ms      83.862us       0.000us         0.00%       1.461ms       9.131us           0 b           0 b     -88.56 Mb    -202.46 Mb           160            --  
                                       MaximumBackward0         0.16%       1.772ms         1.07%      12.200ms      76.250us       0.000us         0.00%       1.461ms       9.131us           0 b        -368 b     113.90 Mb     -65.44 Mb           160            --  
                                    cudaLaunchKernelExC         0.98%      11.225ms         0.98%      11.225ms       4.157us     452.000us         0.04%     452.000us       0.167us           0 b           0 b           0 b           0 b          2700            --  
                                    aten::empty_strided         0.98%      11.139ms         0.98%      11.139ms       3.116us       0.000us         0.00%       0.000us       0.000us         396 b         396 b      50.34 Gb      50.34 Gb          3575            --  
                                       aten::layer_norm         0.09%       1.029ms         0.96%      10.975ms      33.769us       0.000us         0.00%       1.957ms       6.022us           0 b           0 b     337.12 Mb      15.41 Mb           325            --  
                               NativeLayerNormBackward0         0.15%       1.701ms         0.93%      10.604ms      32.628us       0.000us         0.00%       4.329ms      13.320us           0 b           0 b     367.51 Mb       7.73 Mb           325            --  
                                aten::_foreach_addcdiv_         0.29%       3.324ms         0.91%      10.434ms       2.087ms      55.240ms         4.59%      55.240ms      11.048ms           0 b           0 b           0 b           0 b             5            --  
                                aten::native_layer_norm         0.49%       5.610ms         0.91%      10.424ms      32.074us       1.947ms         0.16%       2.047ms       6.298us           0 b           0 b     337.12 Mb           0 b           325            --  
                                       aten::contiguous         0.14%       1.592ms         0.86%       9.791ms      19.982us       0.000us         0.00%       1.570ms       3.204us           0 b           0 b     591.58 Mb      71.99 Mb           490            --  
