================================================================================
BASELINE ADAMW PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Max Length: 512
Steps: 5
Dtype: float16
torch.compile: True

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  Torch-Compiled Region         0.78%      19.964ms       108.30%        2.783s      18.551ms       7.140ms         0.22%     769.342ms       5.129ms           0 b        -953 b       1.55 Gb      -4.10 Mb           150            --  
                                          ProfilerStep*         0.00%     123.000us        94.37%        2.425s     484.923ms       0.000us         0.00%     422.085ms      84.417ms       3.12 Kb           0 b       2.00 Kb           0 b             5            --  
                                           forward_pass         0.08%       1.992ms        85.69%        2.202s     440.303ms       0.000us         0.00%     385.216ms      77.043ms           0 b          -8 b     789.32 Mb    -197.49 Mb             5            --  
         _compile.<locals>.compile_inner (dynamo_timed)         5.19%     133.366ms        62.05%        1.594s     318.869ms       0.000us         0.00%     451.000us      90.200us           0 b    -839.83 Kb      -1.00 Kb           0 b             5            --  
          OutputGraph.call_user_compiler (dynamo_timed)         0.73%      18.815ms        52.64%        1.352s     270.489ms       0.000us         0.00%     451.000us      90.200us           0 b           0 b      -1.00 Kb           0 b             5            --  
          create_aot_dispatcher_function (dynamo_timed)         2.85%      73.262ms        51.91%        1.334s     266.726ms       0.000us         0.00%     451.000us      90.200us           0 b     -24.84 Kb      -1.00 Kb           0 b             5            --  
    compile_fx.<locals>.fw_compiler_base (dynamo_timed)         0.76%      19.592ms        42.24%        1.085s     217.065ms       0.000us         0.00%     451.000us      90.200us           0 b          32 b      -1.00 Kb    -228.00 Kb             5            --  
                        compile_fx_inner (dynamo_timed)         0.76%      19.479ms        41.03%        1.054s     210.834ms       0.000us         0.00%       0.000us       0.000us           0 b          80 b      -1.00 Kb           0 b             5            --  
         GraphLowering.compile_to_module (dynamo_timed)        16.00%     411.155ms        37.15%     954.416ms     190.883ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Kb           0 b             5            --  
                                        training_step_4         0.02%     432.000us        32.68%     839.674ms     839.674ms       0.000us         0.00%      83.399ms      83.399ms         448 b           0 b           0 b           0 b             1            --  
                       Scheduler.codegen (dynamo_timed)        19.42%     498.883ms        19.42%     498.883ms      99.777ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Kb      -1.00 Kb             5            --  
CachingAutotuner.benchmark_all_configs (dynamo_timed...         6.90%     177.406ms        18.59%     477.506ms      95.501ms       0.000us         0.00%     356.754ms      71.351ms           0 b     -29.36 Kb           0 b      -2.38 Gb             5            --  
                                        training_step_6         0.02%     409.000us        16.21%     416.408ms     416.408ms       0.000us         0.00%      84.533ms      84.533ms         256 b           0 b           0 b           0 b             1            --  
                                        training_step_7         0.02%     421.000us        15.42%     396.106ms     396.106ms       0.000us         0.00%      86.691ms      86.691ms       1.38 Kb           0 b       2.00 Kb           0 b             1            --  
                                        training_step_3         0.02%     470.000us        15.15%     389.310ms     389.310ms       0.000us         0.00%      83.294ms      83.294ms         704 b           0 b           0 b           0 b             1            --  
                                        training_step_5         0.02%     410.000us        14.91%     382.994ms     382.994ms       0.000us         0.00%      84.168ms      84.168ms         384 b           0 b           0 b           0 b             1            --  
                                  cudaDeviceSynchronize         8.35%     214.621ms         8.35%     214.621ms       5.235ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            41            --  
                                          backward_pass         6.07%     155.945ms         6.08%     156.112ms      31.222ms       0.000us         0.00%       2.000us       0.400us           0 b           0 b       5.40 Gb       5.40 Gb             5            --  
autograd::engine::evaluate_function: CompiledFunctio...         0.10%       2.454ms         5.09%     130.747ms       1.006ms       0.000us         0.00%      35.381ms     272.162us           0 b           0 b       5.38 Gb    -161.29 Mb           130            --  
                               CompiledFunctionBackward         2.42%      62.256ms         4.99%     128.293ms     986.869us       0.000us         0.00%      35.381ms     272.162us           0 b           0 b       5.54 Gb       5.44 Gb           130            --  
                                       CompiledFunction         1.91%      48.948ms         3.76%      96.555ms     742.731us       0.000us         0.00%      20.473ms     157.485us           0 b           0 b     791.10 Mb     791.10 Mb           130            --  
                                      aten::masked_fill         0.42%      10.689ms         3.20%      82.331ms       1.098ms       0.000us         0.00%       0.000us       0.000us         108 b         -12 b           0 b           0 b            75            --  
                                            aten::where         1.29%      33.257ms         2.82%      72.352ms     689.067us       8.000us         0.00%       8.000us       0.076us           0 b         192 b      18.00 Kb           0 b           105            --  
                                        aten::unsqueeze         0.97%      24.947ms         2.26%      57.939ms     289.695us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           200            --  
                                         optimizer_step         0.04%     936.000us         2.10%      54.026ms      10.805ms       0.000us         0.00%      36.856ms       7.371ms           0 b           0 b      -6.17 Gb           0 b             5            --  
                       GraphLowering.run (dynamo_timed)         1.98%      50.987ms         2.02%      51.822ms      10.364ms       0.000us         0.00%       0.000us       0.000us           0 b        -260 b           0 b           0 b             5            --  
                                           aten::detach         0.90%      23.091ms         2.01%      51.713ms      14.033us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3685            --  
                              Optimizer.step#AdamW.step         0.82%      20.985ms         1.97%      50.596ms      10.119ms       0.000us         0.00%      36.856ms       7.371ms           0 b         -20 b           0 b      -6.17 Gb             5            --  
                                            aten::slice         1.02%      26.132ms         1.92%      49.242ms     185.819us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           265            --  
                                               aten::mm         1.20%      30.767ms         1.90%      48.736ms      23.375us      41.370ms         1.30%      41.370ms      19.842us           0 b           0 b      27.64 Mb      27.64 Mb          2085  928182042624.000  
                      Scheduler.__init__ (dynamo_timed)         1.64%      42.140ms         1.64%      42.189ms       8.438ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5            --  
                                            aten::zero_         0.41%      10.570ms         1.61%      41.257ms       8.245us       0.000us         0.00%     357.010ms      71.345us           0 b           0 b           0 b           0 b          5004            --  
                                           aten::expand         0.68%      17.400ms         1.39%      35.796ms     238.640us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           150            --  
                                    aten::empty_strided         1.02%      26.129ms         1.26%      32.318ms       9.040us       0.000us         0.00%       0.000us       0.000us     777.82 Kb     777.82 Kb       6.17 Gb       6.17 Gb          3575            --  
                                         cuLaunchKernel         1.24%      31.826ms         1.24%      31.826ms       2.995us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10628            --  
                                            aten::fill_         0.58%      14.905ms         1.24%      31.808ms       6.306us     357.282ms        11.23%     357.282ms      70.833us           1 b           1 b           0 b           0 b          5044            --  
                                               aten::to         0.16%       4.229ms         1.21%      31.068ms      59.177us       0.000us         0.00%       0.000us       0.000us       1.17 Kb          37 b      11.00 Kb       1.00 Kb           525            --  
                                         aten::_to_copy         0.24%       6.249ms         1.05%      26.883ms     122.195us       0.000us         0.00%       0.000us       0.000us       1.17 Kb         262 b      11.00 Kb           0 b           220            --  
                                       cudaLaunchKernel         0.96%      24.776ms         0.96%      24.776ms       3.575us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          6930            --  
                                                 detach         0.59%      15.056ms         0.75%      19.363ms       8.493us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2280            --  
                            prims::convert_element_type         0.34%       8.668ms         0.75%      19.153ms     425.622us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            45            --  
                                             aten::rsub         0.13%       3.304ms         0.74%      19.009ms     950.450us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                               aten::lt         0.30%       7.586ms         0.70%      18.024ms     116.284us      10.000us         0.00%      10.000us       0.065us         480 b         -11 b       5.50 Kb       5.50 Kb           155            --  
                                             aten::full         0.37%       9.481ms         0.70%      17.920ms     238.933us       0.000us         0.00%       5.000us       0.067us       8.19 Kb       1.62 Kb      18.00 Kb           0 b            75            --  
                                             aten::view         0.35%       9.004ms         0.69%      17.818ms      64.793us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           275            --  
                                              aten::sub         0.27%       6.912ms         0.69%      17.640ms     441.000us       0.000us         0.00%       0.000us       0.000us          72 b          84 b           0 b           0 b            40            --  
                                    cudaLaunchKernelExC         0.55%      14.184ms         0.55%      14.184ms       4.105us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3455            --  
                                           aten::arange         0.22%       5.675ms         0.55%      14.165ms     257.545us       4.000us         0.00%       8.000us       0.145us      72.56 Kb      14.38 Kb       5.00 Kb           0 b            55            --  
                                              aten::bmm         0.38%       9.688ms         0.55%      14.127ms      19.621us       3.037ms         0.10%       3.037ms       4.218us           0 b           0 b           0 b           0 b           720  5078384640.000  
                                   cudaEventElapsedTime         0.51%      13.043ms         0.51%      13.043ms       2.803us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4654            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.569s
Self CUDA time total: 3.182s


--- CUDA Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           forward_pass         0.00%       0.000us         0.00%       0.000us       0.000us        2.200s        69.13%        2.200s     439.979ms           0 b           0 b           0 b           0 b             5            --  
                                  Torch-Compiled Region         0.78%      19.964ms       108.30%        2.783s      18.551ms       7.140ms         0.22%     769.342ms       5.129ms           0 b        -953 b       1.55 Gb      -4.10 Mb           150            --  
CachingAutotuner.benchmark_all_configs (dynamo_timed...         0.00%       0.000us         0.00%       0.000us       0.000us     456.425ms        14.34%     456.425ms      91.285ms           0 b           0 b           0 b           0 b             5            --  
                                          ProfilerStep*         0.00%     123.000us        94.37%        2.425s     484.923ms       0.000us         0.00%     422.085ms      84.417ms       3.12 Kb           0 b       2.00 Kb           0 b             5            --  
                                           forward_pass         0.08%       1.992ms        85.69%        2.202s     440.303ms       0.000us         0.00%     385.216ms      77.043ms           0 b          -8 b     789.32 Mb    -197.49 Mb             5            --  
                                            aten::fill_         0.58%      14.905ms         1.24%      31.808ms       6.306us     357.282ms        11.23%     357.282ms      70.833us           1 b           1 b           0 b           0 b          5044            --  
                                            aten::zero_         0.41%      10.570ms         1.61%      41.257ms       8.245us       0.000us         0.00%     357.010ms      71.345us           0 b           0 b           0 b           0 b          5004            --  
CachingAutotuner.benchmark_all_configs (dynamo_timed...         6.90%     177.406ms        18.59%     477.506ms      95.501ms       0.000us         0.00%     356.754ms      71.351ms           0 b     -29.36 Kb           0 b      -2.38 Gb             5            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     356.754ms        11.21%     356.754ms      76.002us           0 b           0 b           0 b           0 b          4694            --  
                                        training_step_7         0.02%     421.000us        15.42%     396.106ms     396.106ms       0.000us         0.00%      86.691ms      86.691ms       1.38 Kb           0 b       2.00 Kb           0 b             1            --  
                                        training_step_6         0.02%     409.000us        16.21%     416.408ms     416.408ms       0.000us         0.00%      84.533ms      84.533ms         256 b           0 b           0 b           0 b             1            --  
                                        training_step_5         0.02%     410.000us        14.91%     382.994ms     382.994ms       0.000us         0.00%      84.168ms      84.168ms         384 b           0 b           0 b           0 b             1            --  
                                        training_step_4         0.02%     432.000us        32.68%     839.674ms     839.674ms       0.000us         0.00%      83.399ms      83.399ms         448 b           0 b           0 b           0 b             1            --  
                                        training_step_3         0.02%     470.000us        15.15%     389.310ms     389.310ms       0.000us         0.00%      83.294ms      83.294ms         704 b           0 b           0 b           0 b             1            --  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us      47.219ms         1.48%      47.219ms       9.444ms           0 b           0 b           0 b           0 b             5            --  
                                               aten::mm         1.20%      30.767ms         1.90%      48.736ms      23.375us      41.370ms         1.30%      41.370ms      19.842us           0 b           0 b      27.64 Mb      27.64 Mb          2085  928182042624.000  
                                         optimizer_step         0.04%     936.000us         2.10%      54.026ms      10.805ms       0.000us         0.00%      36.856ms       7.371ms           0 b           0 b      -6.17 Gb           0 b             5            --  
