================================================================================
BASELINE ADAMW PROFILING SUMMARY - facebook/opt-6.7b
================================================================================

Model: facebook/opt-6.7b
Task: SST2
Batch Size: 4
Max Length: 512
Steps: 5
Dtype: float16
torch.compile: True

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.01%     159.000us        92.95%        2.463s     492.662ms       0.000us         0.00%        1.104s     220.779ms       1.19 Kb           0 b           0 b           0 b             5            --  
                                  Torch-Compiled Region         0.88%      23.319ms        64.35%        1.705s       8.976ms       4.222ms         0.11%     752.061ms       3.958ms           0 b      -1.35 Kb       4.97 Gb     -14.66 Mb           190            --  
                                           forward_pass         0.07%       1.962ms        48.96%        1.298s     259.528ms       0.000us         0.00%     379.054ms      75.811ms           0 b         -24 b       2.48 Gb    -138.85 Mb             5            --  
         _compile.<locals>.compile_inner (dynamo_timed)         4.14%     109.657ms        32.47%     860.656ms     215.164ms       0.000us         0.00%       5.279ms       1.320ms           0 b    -660.86 Kb           0 b           0 b             4            --  
          OutputGraph.call_user_compiler (dynamo_timed)         0.58%      15.269ms        25.06%     664.111ms     166.028ms       0.000us         0.00%       1.847ms     461.750us           0 b           0 b           0 b           0 b             4            --  
                                         optimizer_step         0.05%       1.236ms        24.75%     655.980ms     131.196ms       0.000us         0.00%     724.826ms     144.965ms           0 b           0 b    -124.03 Gb           0 b             5            --  
                              Optimizer.step#AdamW.step         1.21%      32.062ms        24.58%     651.462ms     130.292ms       0.000us         0.00%     724.826ms     144.965ms           0 b         -20 b           0 b    -124.03 Gb             5            --  
          create_aot_dispatcher_function (dynamo_timed)         2.22%      58.833ms        24.48%     648.842ms     162.210ms       0.000us         0.00%       1.847ms     461.750us           0 b     -19.88 Kb           0 b           0 b             4            --  
                                        training_step_3         0.02%     653.000us        22.65%     600.338ms     600.338ms       0.000us         0.00%     246.928ms     246.928ms         832 b           0 b      -1.00 Kb           0 b             1            --  
                                       cudaLaunchKernel        22.21%     588.518ms        22.21%     588.518ms      33.498us     730.000us         0.02%     730.000us       0.042us           0 b           0 b           0 b           0 b         17569            --  
                                        training_step_7         0.02%     542.000us        21.98%     582.586ms     582.586ms       0.000us         0.00%     254.072ms     254.072ms         640 b           0 b       1.00 Kb           0 b             1            --  
                                        training_step_6         0.02%     586.000us        20.61%     546.159ms     546.159ms       0.000us         0.00%     239.337ms     239.337ms        -960 b           0 b      -1.00 Kb           0 b             1            --  
                                        training_step_5         0.02%     572.000us        17.36%     460.188ms     460.188ms       0.000us         0.00%     181.608ms     181.608ms        -256 b           0 b           0 b           0 b             1            --  
    compile_fx.<locals>.fw_compiler_base (dynamo_timed)         0.59%      15.701ms        16.99%     450.305ms     112.576ms       0.000us         0.00%       1.847ms     461.750us           0 b          32 b           0 b    -106.00 Kb             4            --  
                        compile_fx_inner (dynamo_timed)         0.62%      16.396ms        16.05%     425.316ms     106.329ms       0.000us         0.00%       6.000us       1.500us           0 b          56 b           0 b           0 b             4            --  
         GraphLowering.compile_to_module (dynamo_timed)        10.45%     276.902ms        13.01%     344.803ms      86.201ms       0.000us         0.00%       6.000us       1.500us           0 b           0 b           0 b           0 b             4            --  
                                  cudaStreamSynchronize        11.37%     301.366ms        11.37%     301.366ms       3.464ms     622.000us         0.02%     622.000us       7.149us           0 b           0 b           0 b           0 b            87            --  
CachingAutotuner.benchmark_all_configs (dynamo_timed...         3.87%     102.577ms        10.52%     278.865ms      92.955ms       0.000us         0.00%     215.979ms      71.993ms           0 b     -12.82 Kb           0 b      -1.43 Gb             3            --  
                                        training_step_4         0.02%     565.000us        10.33%     273.879ms     273.879ms       0.000us         0.00%     181.948ms     181.948ms         960 b           0 b       1.00 Kb           0 b             1            --  
                                             aten::item         0.05%       1.195ms         9.61%     254.576ms      46.952us       0.000us         0.00%       1.125ms       0.207us           0 b           0 b           0 b           0 b          5422            --  
                              aten::_local_scalar_dense         0.03%     890.000us         9.56%     253.410ms      46.737us     154.000us         0.00%       1.127ms       0.208us           0 b           0 b           0 b           0 b          5422            --  
                                          backward_pass         7.67%     203.207ms         7.67%     203.371ms      40.674ms       0.000us         0.00%       3.000us       0.600us           0 b           0 b     121.54 Gb     121.54 Gb             5            --  
autograd::engine::evaluate_function: CompiledFunctio...         0.12%       3.212ms         6.46%     171.266ms       1.007ms       0.000us         0.00%     311.068ms       1.830ms           0 b           0 b     121.55 Gb    -328.01 Mb           170            --  
                               CompiledFunctionBackward         3.13%      83.040ms         6.34%     168.054ms     988.553us       0.000us         0.00%     311.068ms       1.830ms           0 b           0 b     121.87 Gb     121.46 Gb           170            --  
                                  cudaDeviceSynchronize         4.75%     125.827ms         4.75%     125.827ms       4.840ms      98.000us         0.00%      98.000us       3.769us           0 b           0 b           0 b           0 b            26            --  
                                    aten::_foreach_mul_         0.33%       8.638ms         4.59%     121.567ms      12.157ms     148.255ms         3.88%     148.255ms      14.825ms           0 b           0 b           0 b           0 b            10            --  
                                       CompiledFunction         2.47%      65.479ms         4.53%     120.163ms     706.841us       0.000us         0.00%     152.993ms     899.959us           0 b           0 b       2.48 Gb       2.48 Gb           170            --  
                                    aten::_foreach_add_         0.30%       8.060ms         3.87%     102.488ms      10.249ms      74.155ms         1.94%      74.155ms       7.415ms           0 b           0 b           0 b           0 b            10            --  
                                    aten::_foreach_div_         0.17%       4.562ms         3.46%      91.626ms      18.325ms      82.435ms         2.16%      82.435ms      16.487ms           0 b           0 b           0 b           0 b             5            --  
                                aten::_foreach_addcmul_         0.18%       4.676ms         3.26%      86.466ms      17.293ms     103.898ms         2.72%     103.898ms      20.780ms           0 b           0 b           0 b           0 b             5            --  
                                aten::_foreach_addcdiv_         0.19%       4.985ms         3.10%      82.283ms      16.457ms     136.608ms         3.58%     136.608ms      27.322ms           0 b           0 b           0 b           0 b             5            --  
                                    aten::_foreach_sqrt         0.28%       7.484ms         3.02%      79.972ms      15.994ms      76.759ms         2.01%      76.759ms      15.352ms           0 b           0 b     124.03 Gb           0 b             5            --  
                                               aten::to         0.13%       3.577ms         2.75%      72.802ms     135.069us       0.000us         0.00%       0.000us       0.000us       1.05 Kb          25 b       8.00 Kb         512 b           539            --  
                                         aten::_to_copy         0.20%       5.392ms         2.62%      69.362ms     301.574us       0.000us         0.00%       0.000us       0.000us       1.05 Kb         304 b       8.00 Kb           0 b           230            --  
                                      aten::masked_fill         0.33%       8.636ms         2.46%      65.314ms       1.126ms       0.000us         0.00%       0.000us       0.000us          48 b         -24 b           0 b           0 b            58            --  
                                               aten::mm         1.52%      40.165ms         2.35%      62.305ms      21.522us     444.826ms        11.66%     444.826ms     153.653us           0 b           0 b           0 b           0 b          2895  14839150804992.000  
                                            aten::where         0.99%      26.217ms         2.16%      57.156ms     680.429us       6.000us         0.00%       6.000us       0.071us           0 b         144 b       5.50 Kb           0 b            84            --  
                                   aten::_foreach_lerp_         0.11%       2.800ms         2.04%      54.182ms      10.836ms     102.716ms         2.69%     102.716ms      20.543ms           0 b           0 b           0 b           0 b             5            --  
                                            aten::copy_         0.07%       1.903ms         1.97%      52.112ms      66.725us     172.000us         0.00%     265.000us       0.339us      -3.08 Kb      -3.08 Kb           0 b           0 b           781            --  
                                           data_loading         0.01%     211.000us         1.94%      51.477ms      10.295ms       0.000us         0.00%       0.000us       0.000us       1.19 Kb      -4.62 Kb           0 b      -8.50 Kb             5            --  
                                        aten::unsqueeze         0.75%      19.846ms         1.77%      46.855ms     292.844us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           160            --  
                                           aten::detach         0.70%      18.656ms         1.58%      41.838ms      10.353us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4041            --  
                       GraphLowering.run (dynamo_timed)         1.54%      40.686ms         1.56%      41.314ms      10.329ms       0.000us         0.00%       0.000us       0.000us           0 b        -208 b           0 b           0 b             4            --  
                                            aten::slice         0.80%      21.149ms         1.50%      39.802ms     173.808us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           229            --  
                       Scheduler.codegen (dynamo_timed)         1.28%      33.944ms         1.28%      33.944ms       8.486ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                      Scheduler.__init__ (dynamo_timed)         1.22%      32.223ms         1.22%      32.258ms       8.065ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                           aten::expand         0.52%      13.835ms         1.08%      28.546ms     241.915us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           118            --  
                                            aten::zero_         0.27%       7.114ms         1.03%      27.414ms       8.596us       0.000us         0.00%     215.020ms      67.426us           0 b           0 b           0 b           0 b          3189            --  
                                         cuLaunchKernel         0.99%      26.179ms         0.99%      26.179ms       2.997us       2.237ms         0.06%       2.237ms       0.256us           0 b           0 b           0 b           0 b          8735            --  
                                    aten::empty_strided         0.80%      21.210ms         0.97%      25.618ms       6.495us       0.000us         0.00%       0.000us       0.000us     643.84 Kb     643.84 Kb     124.03 Gb     124.03 Gb          3944            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.650s
Self CUDA time total: 3.816s


--- CUDA Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           forward_pass         0.00%       0.000us         0.00%       0.000us       0.000us        1.324s        34.69%        1.324s     264.779ms           0 b           0 b           0 b           0 b             5            --  
                                          ProfilerStep*         0.01%     159.000us        92.95%        2.463s     492.662ms       0.000us         0.00%        1.104s     220.779ms       1.19 Kb           0 b           0 b           0 b             5            --  
                                  Torch-Compiled Region         0.88%      23.319ms        64.35%        1.705s       8.976ms       4.222ms         0.11%     752.061ms       3.958ms           0 b      -1.35 Kb       4.97 Gb     -14.66 Mb           190            --  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us     751.181ms        19.68%     751.181ms     150.236ms           0 b           0 b           0 b           0 b             5            --  
                                         optimizer_step         0.05%       1.236ms        24.75%     655.980ms     131.196ms       0.000us         0.00%     724.826ms     144.965ms           0 b           0 b    -124.03 Gb           0 b             5            --  
                              Optimizer.step#AdamW.step         1.21%      32.062ms        24.58%     651.462ms     130.292ms       0.000us         0.00%     724.826ms     144.965ms           0 b         -20 b           0 b    -124.03 Gb             5            --  
                                               aten::mm         1.52%      40.165ms         2.35%      62.305ms      21.522us     444.826ms        11.66%     444.826ms     153.653us           0 b           0 b           0 b           0 b          2895  14839150804992.000  
                                           forward_pass         0.07%       1.962ms        48.96%        1.298s     259.528ms       0.000us         0.00%     379.054ms      75.811ms           0 b         -24 b       2.48 Gb    -138.85 Mb             5            --  
autograd::engine::evaluate_function: CompiledFunctio...         0.12%       3.212ms         6.46%     171.266ms       1.007ms       0.000us         0.00%     311.068ms       1.830ms           0 b           0 b     121.55 Gb    -328.01 Mb           170            --  
                               CompiledFunctionBackward         3.13%      83.040ms         6.34%     168.054ms     988.553us       0.000us         0.00%     311.068ms       1.830ms           0 b           0 b     121.87 Gb     121.46 Gb           170            --  
CachingAutotuner.benchmark_all_configs (dynamo_timed...         0.00%       0.000us         0.00%       0.000us       0.000us     267.636ms         7.01%     267.636ms      89.212ms           0 b           0 b           0 b           0 b             3            --  
                                        training_step_7         0.02%     542.000us        21.98%     582.586ms     582.586ms       0.000us         0.00%     254.072ms     254.072ms         640 b           0 b       1.00 Kb           0 b             1            --  
                                        training_step_3         0.02%     653.000us        22.65%     600.338ms     600.338ms       0.000us         0.00%     246.928ms     246.928ms         832 b           0 b      -1.00 Kb           0 b             1            --  
                                        training_step_6         0.02%     586.000us        20.61%     546.159ms     546.159ms       0.000us         0.00%     239.337ms     239.337ms        -960 b           0 b      -1.00 Kb           0 b             1            --  
CachingAutotuner.benchmark_all_configs (dynamo_timed...         3.87%     102.577ms        10.52%     278.865ms      92.955ms       0.000us         0.00%     215.979ms      71.993ms           0 b     -12.82 Kb           0 b      -1.43 Gb             3            --  
                                            aten::fill_         0.38%      10.147ms         0.80%      21.303ms       6.610us     215.125ms         5.64%     215.439ms      66.844us         -16 b         -16 b           0 b           0 b          3223            --  
