================================================================================
DiZO PROFILING SUMMARY - facebook/opt-13b
================================================================================

Model: facebook/opt-13b
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.01%     157.000us       100.00%        2.036s     407.264ms       0.000us         0.00%        1.624s     324.874ms           0 b           0 b     -38.50 Mb           0 b             5            --  
                                 zo_gradient_estimation         0.04%     883.000us        73.52%        1.497s     299.438ms       0.000us         0.00%        1.307s     261.329ms           0 b           0 b      75.17 Mb      -5.00 Kb             5            --  
                                       cudaLaunchKernel        25.17%     512.488ms        25.17%     512.488ms       9.311us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Mb      -1.00 Mb         55040            --  
                                  cudaStreamSynchronize        23.78%     484.285ms        23.78%     484.285ms       1.153ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           420            --  
                                        training_step_2         0.02%     484.000us        21.05%     428.703ms     428.703ms       0.000us         0.00%     322.761ms     322.761ms           0 b           0 b      12.27 Mb           0 b             1            --  
                                        training_step_3         0.02%     467.000us        20.87%     425.015ms     425.015ms       0.000us         0.00%     322.550ms     322.550ms           0 b           0 b       8.44 Mb           0 b             1            --  
                                        training_step_6         0.04%     786.000us        19.52%     397.439ms     397.439ms       0.000us         0.00%     328.443ms     328.443ms           0 b           0 b     -92.19 Mb    -113.67 Mb             1            --  
                                        training_step_4         0.02%     471.000us        19.33%     393.688ms     393.688ms       0.000us         0.00%     325.222ms     325.222ms           0 b           0 b      13.81 Mb           0 b             1            --  
                                        training_step_5         0.02%     459.000us        19.22%     391.320ms     391.320ms       0.000us         0.00%     325.394ms     325.394ms           0 b           0 b      19.17 Mb           0 b             1            --  
                                           zo_forward_1         2.81%      57.213ms        18.73%     381.333ms      76.267ms       0.000us         0.00%      56.614ms      11.323ms           0 b        -480 b      37.21 Mb      -3.75 Gb             5            --  
                                              aten::mul         6.42%     130.797ms        17.22%     350.596ms      15.277us     559.659ms        15.34%     559.659ms      24.386us     -29.36 Kb     -29.36 Kb     837.61 Gb     837.61 Gb         22950       450.030  
                                           zo_forward_2         2.78%      56.526ms        16.55%     336.999ms      67.400ms       0.000us         0.00%      56.565ms      11.313ms           0 b        -460 b      37.96 Mb      -3.73 Gb             5            --  
                                            aten::copy_         0.68%      13.882ms        16.39%     333.700ms     130.863us       6.518ms         0.18%       6.518ms       2.556us         -16 b         -16 b           0 b           0 b          2550            --  
                                    zo_parameter_update         0.06%       1.122ms        15.97%     325.211ms      65.042ms       0.000us         0.00%     317.712ms      63.542ms           0 b           0 b           0 b     -50.00 Kb             5            --  
                                               aten::to         0.08%       1.588ms        15.96%     324.977ms     357.118us       0.000us         0.00%       1.072ms       1.178us        -188 b        -124 b      49.94 Mb       2.54 Mb           910            --  
                                              zo_update         2.48%      50.556ms        15.92%     324.089ms      64.818ms       0.000us         0.00%     317.712ms      63.542ms           0 b       4.30 Kb      50.00 Kb    -319.81 Gb             5            --  
                                         aten::_to_copy         0.21%       4.236ms        15.90%     323.683ms     376.376us       0.000us         0.00%       1.108ms       1.288us         -72 b         -72 b      50.64 Mb           0 b           860            --  
                                           aten::normal         2.27%      46.207ms        13.74%     279.891ms      21.731us       0.000us         0.00%     535.253ms      41.557us           0 b           0 b     476.00 Gb      -2.83 Gb         12880            --  
