step,baseline_loss,flat_buffer_loss,loss_diff,baseline_grad,flat_buffer_grad,grad_diff
0,4.89843750,4.89843750,0.00000000e+00,326.25000000,328.00000000,1.75000000e+00
1,5.93359375,5.93750000,3.90625000e-03,375.00000000,375.00000000,0.00000000e+00
2,6.87500000,6.89062500,1.56250000e-02,445.25000000,449.25000000,4.00000000e+00
3,5.23828125,5.23437500,3.90625000e-03,-195.25000000,-195.25000000,0.00000000e+00
4,4.48828125,4.49218750,3.90625000e-03,-252.00000000,-248.00000000,4.00000000e+00
5,4.71875000,4.71093750,7.81250000e-03,-224.62500000,-230.50000000,5.87500000e+00
6,6.07812500,6.07812500,0.00000000e+00,-7.81250000,-9.76562500,1.95312500e+00
7,8.62500000,8.62500000,0.00000000e+00,427.75000000,425.75000000,2.00000000e+00
8,6.18750000,6.18750000,0.00000000e+00,-91.81250000,-95.68750000,3.87500000e+00
9,7.17578125,7.17968750,3.90625000e-03,214.87500000,218.75000000,3.87500000e+00
10,7.22265625,7.23437500,1.17187500e-02,-255.87500000,-246.12500000,9.75000000e+00
11,5.93750000,5.94140625,3.90625000e-03,78.12500000,80.06250000,1.93750000e+00
12,6.10156250,6.10546875,3.90625000e-03,-273.50000000,-275.50000000,2.00000000e+00
13,7.50781250,7.51953125,1.17187500e-02,246.12500000,248.00000000,1.87500000e+00
14,6.49218750,6.49218750,0.00000000e+00,-425.75000000,-423.75000000,2.00000000e+00
15,7.61718750,7.62500000,7.81250000e-03,-183.62500000,-179.62500000,4.00000000e+00
16,5.29687500,5.30468750,7.81250000e-03,109.37500000,117.18750000,7.81250000e+00
17,4.73437500,4.74218750,7.81250000e-03,21.48437500,25.39062500,3.90625000e+00
18,6.33593750,6.33203125,3.90625000e-03,-128.87500000,-123.06250000,5.81250000e+00
19,6.88281250,6.86718750,1.56250000e-02,-74.18750000,-74.18750000,0.00000000e+00
20,5.61718750,5.61718750,0.00000000e+00,-277.25000000,-277.25000000,0.00000000e+00
21,4.32421875,4.32812500,3.90625000e-03,-427.75000000,-427.75000000,0.00000000e+00
22,7.74218750,7.74218750,0.00000000e+00,341.75000000,347.75000000,6.00000000e+00
23,6.51562500,6.51562500,0.00000000e+00,89.81250000,93.75000000,3.93750000e+00
24,6.04687500,6.05468750,7.81250000e-03,-316.50000000,-320.25000000,3.75000000e+00
