================================================================================
DiZO PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.01%     132.000us       100.00%        1.159s     231.781ms       0.000us         0.00%      87.428ms      17.486ms           0 b           0 b      75.79 Mb           0 b             5            --  
                                 zo_gradient_estimation         0.07%     804.000us        82.83%     959.938ms     191.988ms       0.000us         0.00%      73.025ms      14.605ms           0 b           8 b      74.77 Mb      -5.00 Kb             5            --  
                                           zo_forward_1         4.38%      50.808ms        40.52%     469.566ms      93.913ms       0.000us         0.00%       9.535ms       1.907ms           0 b        -300 b      37.21 Mb    -512.05 Mb             5            --  
                                        training_step_3         0.03%     382.000us        35.76%     414.467ms     414.467ms       0.000us         0.00%      17.396ms      17.396ms           0 b           0 b       8.44 Mb           0 b             1            --  
                                        training_step_2         0.04%     473.000us        29.49%     341.733ms     341.733ms       0.000us         0.00%      17.404ms      17.404ms           0 b           0 b      12.27 Mb           0 b             1            --  
                                              aten::bmm         5.11%      59.277ms        22.90%     265.430ms     552.979us       1.077ms         0.10%       1.077ms       2.244us           0 b           0 b      48.47 Mb      48.47 Mb           480         1.621  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...        17.61%     204.062ms        17.61%     204.062ms     317.359us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           643            --  
                                        training_step_4         0.06%     652.000us        11.74%     136.035ms     136.035ms       0.000us         0.00%      17.516ms      17.516ms           0 b           0 b      13.81 Mb           0 b             1            --  
                                        zo_perturb_+eps         4.05%      46.982ms        11.69%     135.500ms      27.100ms       0.000us         0.00%      17.935ms       3.587ms           0 b       5.75 Kb      12.00 Kb     -11.28 Gb             5            --  
                                        training_step_6         0.03%     381.000us        11.64%     134.921ms     134.921ms       0.000us         0.00%      17.585ms      17.585ms           0 b           0 b      21.49 Mb           0 b             1            --  
                                        training_step_5         0.03%     384.000us        11.36%     131.616ms     131.616ms       0.000us         0.00%      17.527ms      17.527ms           0 b           0 b      19.78 Mb           0 b             1            --  
                                              aten::mul         7.30%      84.551ms        11.12%     128.849ms       9.317us      25.338ms         2.25%      25.338ms       1.832us     -19.70 Kb     -19.70 Kb      21.71 Gb      21.71 Gb         13830        11.611  
                                  zo_perturb_+eps_reset         3.62%      41.945ms        10.62%     123.031ms      24.606ms       0.000us         0.00%      17.655ms       3.531ms           0 b       5.87 Kb    -237.50 Kb     -11.25 Gb             5            --  
                                       zo_perturb_-2eps         3.72%      43.076ms        10.61%     122.941ms      24.588ms       0.000us         0.00%      18.317ms       3.663ms           0 b       5.64 Kb     589.50 Kb     -11.31 Gb             5            --  
                                       cudaLaunchKernel         9.99%     115.774ms         9.99%     115.774ms       3.464us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         33418            --  
                                           aten::normal         1.90%      21.966ms         9.97%     115.526ms      14.887us       0.000us         0.00%      26.689ms       3.439us           0 b           0 b      12.34 Gb     -22.09 Mb          7760            --  
                                           zo_forward_2         2.73%      31.677ms         9.30%     107.790ms      21.558ms       0.000us         0.00%       9.563ms       1.913ms           0 b        -252 b      37.21 Mb    -517.13 Mb             5            --  
                                           data_loading         8.06%      93.356ms         8.87%     102.786ms      20.557ms       0.000us         0.00%       1.000us       0.200us           0 b      -6.06 Kb       1.00 Kb      -8.00 Kb             5            --  
