================================================================================
DiZO PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     142.000us       100.00%       64.679s       12.936s       0.000us         0.00%     259.248ms      51.850ms           0 b           0 b       5.99 Mb           0 b             5            --  
                                 zo_gradient_estimation         0.00%     824.000us        99.85%       64.580s       12.916s       0.000us         0.00%     241.040ms      48.208ms           0 b           0 b       7.69 Mb      -7.50 Kb             5            --  
                                           zo_forward_1         0.06%      37.118ms        99.21%       64.170s       12.834s       0.000us         0.00%     163.703ms      32.741ms           0 b          -8 b     -54.85 Mb    -152.13 Mb             5            --  
         _compile.<locals>.compile_inner (dynamo_timed)         8.68%        5.612s        99.08%       64.081s       12.816s       0.000us         0.00%     155.367ms      31.073ms           0 b     -25.66 Mb    -116.77 Mb    -116.90 Mb             5            --  
          OutputGraph.call_user_compiler (dynamo_timed)         1.32%     856.749ms        88.46%       57.218s       11.444s       0.000us         0.00%     151.052ms      30.210ms           0 b           0 b      72.00 Kb           0 b             5            --  
          create_aot_dispatcher_function (dynamo_timed)         5.92%        3.830s        87.14%       56.361s       11.272s       0.000us         0.00%     151.052ms      30.210ms           0 b     -25.66 Kb      72.00 Kb    -122.50 Kb             5            --  
    compile_fx.<locals>.fw_compiler_base (dynamo_timed)         4.34%        2.805s        59.25%       38.320s        7.664s       0.000us         0.00%     150.571ms      30.114ms           0 b      -6.14 Kb     -14.00 Kb    -872.61 Mb             5            --  
                        compile_fx_inner (dynamo_timed)         3.88%        2.510s        51.40%       33.248s        6.650s       0.000us         0.00%     481.000us      96.200us           0 b       2.72 Kb     -13.50 Kb           0 b             5            --  
         GraphLowering.compile_to_module (dynamo_timed)         3.43%        2.219s        27.44%       17.750s        3.550s       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -36.50 Kb           0 b             5            --  
                                        training_step_5         0.00%     498.000us        20.96%       13.556s       13.556s       0.000us         0.00%     170.290ms     170.290ms           0 b           0 b     -15.18 Mb           0 b             1            --  
                                        training_step_3         0.00%     651.000us        20.13%       13.018s       13.018s       0.000us         0.00%      22.694ms      22.694ms           0 b           0 b       1.38 Mb           0 b             1            --  
                                        training_step_2         0.00%     505.000us        19.95%       12.902s       12.902s       0.000us         0.00%      24.193ms      24.193ms           0 b           0 b       6.99 Mb           0 b             1            --  
                                        training_step_6         0.00%     554.000us        19.57%       12.657s       12.657s       0.000us         0.00%      21.014ms      21.014ms           0 b           0 b      -4.00 Mb           0 b             1            --  
                                        training_step_4         0.00%     517.000us        19.40%       12.545s       12.545s       0.000us         0.00%      21.057ms      21.057ms           0 b           0 b      16.80 Mb           0 b             1            --  
                      Scheduler.__init__ (dynamo_timed)        13.29%        8.598s        13.30%        8.605s        1.721s       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -36.50 Kb     -36.50 Kb             5            --  
                                           aten::detach         7.68%        4.965s        12.97%        8.391s      45.911us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -14.00 Kb     -12.00 Kb        182760            --  
                       GraphLowering.run (dynamo_timed)        11.28%        7.295s        11.47%        7.421s        1.484s       0.000us         0.00%     241.000us      48.200us           0 b     -20.73 Kb           0 b           0 b             5            --  
                       Scheduler.codegen (dynamo_timed)         9.68%        6.261s        10.31%        6.666s        1.333s       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5            --  
