step,baseline_loss,flat_buffer_loss,loss_diff,baseline_grad,flat_buffer_grad,grad_diff
0,5.80859375,5.80859375,0.00000000e+00,273.50000000,275.50000000,2.00000000e+00
1,6.03515625,6.03515625,0.00000000e+00,486.25000000,484.25000000,2.00000000e+00
2,6.29687500,6.29687500,0.00000000e+00,-189.50000000,-187.50000000,2.00000000e+00
3,6.24218750,6.24218750,0.00000000e+00,214.87500000,214.87500000,0.00000000e+00
4,5.05468750,5.05859375,3.90625000e-03,-156.25000000,-154.25000000,2.00000000e+00
5,5.02343750,5.01953125,3.90625000e-03,-173.87500000,-173.87500000,0.00000000e+00
6,6.06640625,6.06640625,0.00000000e+00,17.57812500,17.57812500,0.00000000e+00
7,7.91406250,7.91406250,0.00000000e+00,-62.50000000,-62.50000000,0.00000000e+00
8,6.03125000,6.02734375,3.90625000e-03,-123.06250000,-126.93750000,3.87500000e+00
9,6.82031250,6.81640625,3.90625000e-03,-152.37500000,-150.37500000,2.00000000e+00
10,8.09375000,8.09375000,0.00000000e+00,-105.43750000,-105.43750000,0.00000000e+00
11,5.76562500,5.76562500,0.00000000e+00,-490.25000000,-488.25000000,2.00000000e+00
12,6.83203125,6.82812500,3.90625000e-03,-142.62500000,-138.62500000,4.00000000e+00
13,7.42968750,7.42187500,7.81250000e-03,15.62500000,11.71875000,3.90625000e+00
14,6.96093750,6.95703125,3.90625000e-03,15.62500000,17.57812500,1.95312500e+00
15,7.98828125,7.98437500,3.90625000e-03,23.43750000,19.53125000,3.90625000e+00
16,5.88281250,5.88281250,0.00000000e+00,296.75000000,296.75000000,0.00000000e+00
17,5.12500000,5.12500000,0.00000000e+00,132.75000000,136.75000000,4.00000000e+00
18,6.52343750,6.53125000,7.81250000e-03,166.00000000,171.87500000,5.87500000e+00
19,7.00000000,7.00000000,0.00000000e+00,339.75000000,338.00000000,1.75000000e+00
20,5.61718750,5.60156250,1.56250000e-02,128.87500000,132.75000000,3.87500000e+00
21,4.41406250,4.40234375,1.17187500e-02,7.81250000,5.85937500,1.95312500e+00
22,6.54687500,6.55078125,3.90625000e-03,152.37500000,154.25000000,1.87500000e+00
23,6.36718750,6.35937500,7.81250000e-03,-300.75000000,-300.75000000,0.00000000e+00
24,7.07031250,7.07031250,0.00000000e+00,109.37500000,109.37500000,0.00000000e+00
25,6.26562500,6.26171875,3.90625000e-03,35.15625000,35.15625000,0.00000000e+00
26,10.31250000,10.29687500,1.56250000e-02,359.25000000,351.50000000,7.75000000e+00
27,7.97656250,7.97656250,0.00000000e+00,-402.25000000,-402.25000000,0.00000000e+00
28,5.01562500,5.01562500,0.00000000e+00,128.87500000,128.87500000,0.00000000e+00
29,4.67968750,4.67968750,0.00000000e+00,-285.25000000,-285.25000000,0.00000000e+00
30,5.30468750,5.30468750,0.00000000e+00,-72.25000000,-68.37500000,3.87500000e+00
31,6.94531250,6.94531250,0.00000000e+00,89.81250000,91.81250000,2.00000000e+00
32,8.64062500,8.64062500,0.00000000e+00,207.00000000,210.87500000,3.87500000e+00
33,6.88281250,6.88281250,0.00000000e+00,-9.76562500,-7.81250000,1.95312500e+00
34,7.59375000,7.59375000,0.00000000e+00,-101.56250000,-97.62500000,3.93750000e+00
35,6.14062500,6.13281250,7.81250000e-03,19.53125000,15.62500000,3.90625000e+00
36,7.80468750,7.82812500,2.34375000e-02,-253.87500000,-246.12500000,7.75000000e+00
37,6.53906250,6.53125000,7.81250000e-03,492.25000000,490.25000000,2.00000000e+00
38,8.10937500,8.11718750,7.81250000e-03,-62.50000000,-58.59375000,3.90625000e+00
39,7.16796875,7.17187500,3.90625000e-03,87.87500000,87.87500000,0.00000000e+00
40,7.81250000,7.81250000,0.00000000e+00,125.00000000,125.00000000,0.00000000e+00
41,5.03125000,5.02343750,7.81250000e-03,-185.50000000,-183.62500000,1.87500000e+00
42,7.03125000,7.03125000,0.00000000e+00,23.43750000,23.43750000,0.00000000e+00
43,6.40625000,6.40234375,3.90625000e-03,39.06250000,41.00000000,1.93750000e+00
44,6.03906250,6.03125000,7.81250000e-03,-128.87500000,-130.87500000,2.00000000e+00
45,6.46875000,6.46093750,7.81250000e-03,300.75000000,295.00000000,5.75000000e+00
46,7.42968750,7.42968750,0.00000000e+00,-115.25000000,-109.37500000,5.87500000e+00
47,7.62890625,7.62500000,3.90625000e-03,-84.00000000,-85.93750000,1.93750000e+00
48,5.92968750,5.92968750,0.00000000e+00,-230.50000000,-230.50000000,0.00000000e+00
49,7.55468750,7.54687500,7.81250000e-03,-62.50000000,-60.53125000,1.96875000e+00
50,5.82031250,5.82812500,7.81250000e-03,289.00000000,289.00000000,0.00000000e+00
51,5.81250000,5.80859375,3.90625000e-03,236.37500000,234.37500000,2.00000000e+00
52,6.32031250,6.31250000,7.81250000e-03,-23.43750000,-23.43750000,0.00000000e+00
53,6.18359375,6.17968750,3.90625000e-03,316.50000000,314.50000000,2.00000000e+00
54,5.08203125,5.08203125,0.00000000e+00,5.85937500,3.90625000,1.95312500e+00
55,5.27343750,5.27343750,0.00000000e+00,158.25000000,158.25000000,0.00000000e+00
56,5.61718750,5.61718750,0.00000000e+00,-289.00000000,-291.00000000,2.00000000e+00
57,7.96875000,7.95312500,1.56250000e-02,85.93750000,82.00000000,3.93750000e+00
58,6.14062500,6.13671875,3.90625000e-03,19.53125000,17.57812500,1.95312500e+00
59,7.00781250,7.00390625,3.90625000e-03,109.37500000,109.37500000,0.00000000e+00
60,8.22656250,8.22656250,0.00000000e+00,85.93750000,85.93750000,0.00000000e+00
61,5.77343750,5.76562500,7.81250000e-03,-226.50000000,-224.62500000,1.87500000e+00
62,6.90234375,6.89062500,1.17187500e-02,5.85937500,5.85937500,0.00000000e+00
63,7.16406250,7.15625000,7.81250000e-03,-123.06250000,-125.00000000,1.93750000e+00
64,6.89843750,6.88671875,1.17187500e-02,3.90625000,5.85937500,1.95312500e+00
65,7.79687500,7.79687500,0.00000000e+00,-152.37500000,-156.25000000,3.87500000e+00
66,5.50000000,5.50000000,0.00000000e+00,35.15625000,31.25000000,3.90625000e+00
67,4.85937500,4.86328125,3.90625000e-03,-107.43750000,-101.56250000,5.87500000e+00
68,6.17968750,6.17187500,7.81250000e-03,-42.96875000,-46.87500000,3.90625000e+00
69,6.53125000,6.53125000,0.00000000e+00,-70.31250000,-72.25000000,1.93750000e+00
70,4.87500000,4.86718750,7.81250000e-03,-433.50000000,-431.75000000,1.75000000e+00
71,4.33203125,4.32031250,1.17187500e-02,48.81250000,44.90625000,3.90625000e+00
72,6.38671875,6.38281250,3.90625000e-03,31.25000000,29.29687500,1.95312500e+00
73,6.56250000,6.54687500,1.56250000e-02,-27.34375000,-29.29687500,1.95312500e+00
74,7.21093750,7.20703125,3.90625000e-03,300.75000000,300.75000000,0.00000000e+00
75,6.12500000,6.11328125,1.17187500e-02,23.43750000,21.48437500,1.95312500e+00
76,10.48437500,10.47656250,7.81250000e-03,738.50000000,738.50000000,0.00000000e+00
77,7.80078125,7.79687500,3.90625000e-03,-400.50000000,-402.25000000,1.75000000e+00
78,4.57031250,4.56250000,7.81250000e-03,-252.00000000,-253.87500000,1.87500000e+00
79,4.58593750,4.57812500,7.81250000e-03,-234.37500000,-238.25000000,3.87500000e+00
80,5.30078125,5.28906250,1.17187500e-02,134.75000000,136.75000000,2.00000000e+00
81,7.02343750,7.02343750,0.00000000e+00,232.37500000,230.50000000,1.87500000e+00
82,8.28125000,8.28125000,0.00000000e+00,-7.81250000,-3.90625000,3.90625000e+00
83,6.98437500,6.98437500,0.00000000e+00,70.31250000,72.25000000,1.93750000e+00
84,8.32031250,8.30468750,1.56250000e-02,636.50000000,629.00000000,7.50000000e+00
85,5.65625000,5.64843750,7.81250000e-03,-316.50000000,-314.50000000,2.00000000e+00
86,7.60156250,7.62500000,2.34375000e-02,-171.87500000,-164.00000000,7.87500000e+00
87,5.89062500,5.88281250,7.81250000e-03,-23.43750000,-23.43750000,0.00000000e+00
88,7.98437500,7.98437500,0.00000000e+00,-23.43750000,-19.53125000,3.90625000e+00
89,7.37109375,7.36718750,3.90625000e-03,302.75000000,298.75000000,4.00000000e+00
90,7.82031250,7.82031250,0.00000000e+00,275.50000000,275.50000000,0.00000000e+00
91,5.13281250,5.12500000,7.81250000e-03,85.93750000,85.93750000,0.00000000e+00
92,7.10546875,7.10156250,3.90625000e-03,267.50000000,263.75000000,3.75000000e+00
93,5.85937500,5.85937500,0.00000000e+00,-132.75000000,-136.75000000,4.00000000e+00
94,6.28906250,6.28125000,7.81250000e-03,191.37500000,195.25000000,3.87500000e+00
95,6.32031250,6.31250000,7.81250000e-03,279.25000000,273.50000000,5.75000000e+00
96,7.31250000,7.31250000,0.00000000e+00,-89.81250000,-89.81250000,0.00000000e+00
97,7.25781250,7.25390625,3.90625000e-03,-318.25000000,-318.25000000,0.00000000e+00
98,5.75390625,5.75000000,3.90625000e-03,-158.25000000,-158.25000000,0.00000000e+00
99,7.53125000,7.52343750,7.81250000e-03,5.85937500,9.76562500,3.90625000e+00
100,5.32031250,5.31250000,7.81250000e-03,-46.87500000,-46.87500000,0.00000000e+00
101,5.39453125,5.38671875,7.81250000e-03,89.81250000,87.87500000,1.93750000e+00
102,6.31250000,6.30468750,7.81250000e-03,31.25000000,35.15625000,3.90625000e+00
103,6.14062500,6.13281250,7.81250000e-03,287.00000000,291.00000000,4.00000000e+00
104,5.07031250,5.05468750,1.56250000e-02,-5.85937500,-9.76562500,3.90625000e+00
105,4.58593750,4.58203125,3.90625000e-03,-334.00000000,-334.00000000,0.00000000e+00
106,5.78125000,5.76562500,1.56250000e-02,3.90625000,0.00000000,3.90625000e+00
107,7.18359375,7.17968750,3.90625000e-03,-541.00000000,-539.00000000,2.00000000e+00
108,5.73437500,5.73437500,0.00000000e+00,-234.37500000,-234.37500000,0.00000000e+00
109,6.51562500,6.50781250,7.81250000e-03,-214.87500000,-214.87500000,0.00000000e+00
110,7.71093750,7.70312500,7.81250000e-03,-324.25000000,-320.25000000,4.00000000e+00
111,5.52343750,5.51562500,7.81250000e-03,-336.00000000,-332.00000000,4.00000000e+00
112,6.58203125,6.57031250,1.17187500e-02,31.25000000,31.25000000,0.00000000e+00
113,6.85156250,6.84375000,7.81250000e-03,-164.00000000,-166.00000000,2.00000000e+00
114,6.79687500,6.79687500,0.00000000e+00,91.81250000,101.56250000,9.75000000e+00
115,7.79687500,7.80468750,7.81250000e-03,48.81250000,48.81250000,0.00000000e+00
116,5.56250000,5.55859375,3.90625000e-03,265.50000000,271.50000000,6.00000000e+00
117,4.89062500,4.88281250,7.81250000e-03,91.81250000,95.68750000,3.87500000e+00
118,6.10937500,6.10156250,7.81250000e-03,27.34375000,27.34375000,0.00000000e+00
119,6.57031250,6.57421875,3.90625000e-03,183.62500000,185.50000000,1.87500000e+00
120,5.10937500,5.09375000,1.56250000e-02,-39.06250000,-39.06250000,0.00000000e+00
121,4.22265625,4.21875000,3.90625000e-03,-21.48437500,-19.53125000,1.95312500e+00
122,5.92187500,5.93750000,1.56250000e-02,-171.87500000,-168.00000000,3.87500000e+00
