================================================================================
DiZO PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.02%      91.000us       100.00%     399.276ms      79.855ms       0.000us         0.00%      33.806ms       6.761ms           0 b           0 b     112.66 Mb           0 b             5            --  
                                 zo_gradient_estimation         0.17%     661.000us        92.68%     370.069ms      74.014ms       0.000us         0.00%      31.875ms       6.375ms           0 b           0 b     112.66 Mb      -5.00 Kb             5            --  
                                           zo_forward_1         9.73%      38.854ms        33.45%     133.544ms      26.709ms       0.000us         0.00%      12.377ms       2.475ms           0 b        -168 b      56.00 Mb    -963.65 Mb             5            --  
                                           zo_forward_2         9.66%      38.552ms        32.48%     129.686ms      25.937ms       0.000us         0.00%      11.945ms       2.389ms           0 b        -224 b      56.66 Mb    -928.12 Mb             5            --  
                                        training_step_6         0.11%     431.000us        23.75%      94.824ms      94.824ms       0.000us         0.00%       6.544ms       6.544ms           0 b           0 b      21.48 Mb           0 b             1            --  
                                        training_step_5         0.10%     415.000us        19.38%      77.379ms      77.379ms       0.000us         0.00%       6.569ms       6.569ms           0 b           0 b      24.55 Mb           0 b             1            --  
                                        training_step_3         0.09%     348.000us        19.15%      76.467ms      76.467ms       0.000us         0.00%       6.937ms       6.937ms           0 b           0 b      31.34 Mb           0 b             1            --  
                                        training_step_2         0.10%     391.000us        18.87%      75.362ms      75.362ms       0.000us         0.00%       7.307ms       7.307ms           0 b           0 b      19.95 Mb           0 b             1            --  
                                        training_step_4         0.10%     382.000us        18.82%      75.153ms      75.153ms       0.000us         0.00%       6.449ms       6.449ms           0 b           0 b      15.34 Mb           0 b             1            --  
                                           aten::linear         2.79%      11.144ms        15.31%      61.141ms      41.593us       0.000us         0.00%      10.492ms       7.137us           0 b           0 b     644.64 Mb      12.03 Mb          1470            --  
                                              aten::mul         7.84%      31.293ms        11.55%      46.119ms      11.276us       4.090ms         0.98%       4.237ms       1.036us      -4.32 Kb      -4.32 Kb     583.51 Mb     583.51 Mb          4090       306.316  
                                       cudaLaunchKernel        11.15%      44.503ms        11.15%      44.503ms       3.435us     476.000us         0.11%     476.000us       0.037us           0 b           0 b      -2.00 Mb      -2.00 Mb         12954            --  
                                       zo_perturb_-2eps         3.45%      13.780ms        10.88%      43.446ms       8.689ms       0.000us         0.00%       2.404ms     480.800us           0 b       1.32 Kb           0 b    -210.62 Mb             5            --  
                                            aten::addmm         7.91%      31.589ms        10.48%      41.836ms      29.053us      10.187ms         2.45%      10.317ms       7.165us           0 b           0 b     528.56 Mb     532.56 Mb          1440    705448.378  
                                  zo_perturb_+eps_reset         2.96%      11.823ms         8.02%      32.042ms       6.408ms       0.000us         0.00%       2.406ms     481.200us           0 b       1.24 Kb           0 b    -210.50 Mb             5            --  
                                           aten::normal         1.64%       6.564ms         7.96%      31.795ms      16.560us       0.000us         0.00%       3.887ms       2.024us           0 b           0 b     238.75 Mb      -1.25 Mb          1920            --  
                                        zo_perturb_+eps         2.72%      10.858ms         7.61%      30.398ms       6.080ms       0.000us         0.00%       2.723ms     544.600us           0 b       1.30 Kb           0 b    -202.88 Mb             5            --  
                                           aten::matmul         1.61%       6.424ms         6.86%      27.397ms      27.674us       0.000us         0.00%       3.425ms       3.460us           0 b           0 b     232.42 Mb           0 b           990            --  
                                    zo_parameter_update         0.16%     647.000us         6.43%      25.680ms       5.136ms       0.000us         0.00%       1.920ms     384.000us           0 b           0 b           0 b    -640.00 Kb             5            --  
                                              zo_update         2.11%       8.439ms         6.27%      25.033ms       5.007ms       0.000us         0.00%       1.920ms     384.000us           0 b         224 b     640.00 Kb    -149.38 Mb             5            --  
                                              aten::add         3.78%      15.086ms         5.37%      21.441ms       9.790us       2.625ms         0.63%       2.705ms       1.235us           0 b           0 b     317.16 Mb     317.16 Mb          2190       166.754  
                                               aten::mm         3.73%      14.899ms         5.04%      20.140ms      20.343us       3.342ms         0.80%       3.425ms       3.460us           0 b           0 b     232.42 Mb     232.42 Mb           990     77273.235  
                                          aten::normal_         3.12%      12.464ms         4.77%      19.049ms       9.921us       3.840ms         0.92%       3.987ms       2.077us           0 b           0 b           0 b           0 b          1920            --  
                                            aten::clone         0.85%       3.394ms         4.66%      18.607ms      18.423us       0.000us         0.00%       2.620ms       2.594us           0 b           0 b     327.98 Mb     -19.38 Mb          1010            --  
                                            aten::copy_         2.04%       8.159ms         3.94%      15.746ms       9.903us       3.450ms         0.83%       3.529ms       2.219us          -8 b          -8 b           0 b           0 b          1590            --  
                                            aten::empty         3.73%      14.903ms         3.94%      15.732ms       3.376us       0.000us         0.00%       0.000us       0.000us       8.08 Kb       8.08 Kb     678.08 Mb     678.08 Mb          4660            --  
                                       aten::contiguous         0.53%       2.111ms         3.61%      14.417ms      19.482us       0.000us         0.00%       1.743ms       2.355us           0 b           0 b     273.08 Mb      23.92 Mb           740            --  
                                       aten::layer_norm         0.33%       1.324ms         3.51%      14.027ms      29.223us       0.000us         0.00%       1.473ms       3.069us           0 b           0 b     109.61 Mb    -449.00 Kb           480            --  
                                aten::native_layer_norm         1.70%       6.803ms         3.18%      12.703ms      26.465us       1.457ms         0.35%       1.473ms       3.069us           0 b           0 b     110.05 Mb     -13.00 Kb           480            --  
                                               aten::to         0.24%     954.000us         2.75%      10.990ms      18.627us       0.000us         0.00%     605.000us       1.025us        -176 b        -104 b      26.08 Mb       1.48 Mb           590            --  
                                         aten::_to_copy         0.61%       2.433ms         2.59%      10.334ms      19.137us       0.000us         0.00%     639.000us       1.183us         -80 b         -80 b      26.58 Mb           0 b           540            --  
                                              aten::bmm         1.83%       7.314ms         2.31%       9.224ms      19.217us       1.026ms         0.25%       1.056ms       2.200us           0 b           0 b      81.02 Mb      81.02 Mb           480      3526.361  
                                    cudaLaunchKernelExC         2.08%       8.301ms         2.08%       8.301ms       4.596us      83.000us         0.02%      83.000us       0.046us           0 b           0 b      -2.00 Mb      -2.00 Mb          1806            --  
                                        aten::transpose         1.68%       6.700ms         1.81%       7.217ms       1.988us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3630            --  
                                          aten::reshape         0.57%       2.282ms         1.79%       7.161ms       2.923us       0.000us         0.00%     720.000us       0.294us           0 b           0 b      54.75 Mb           0 b          2450            --  
                                       aten::empty_like         0.52%       2.071ms         1.56%       6.223ms       6.223us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     327.97 Mb      19.38 Mb          1000            --  
                                                aten::t         0.66%       2.616ms         1.37%       5.479ms       3.727us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1470            --  
                                              aten::sub         0.76%       3.030ms         1.08%       4.297ms       8.509us     505.000us         0.12%     507.000us       1.004us         -24 b         -24 b      59.58 Mb      59.58 Mb           505            --  
                                  cudaFuncGetAttributes         0.92%       3.668ms         0.92%       3.668ms       1.961us      55.000us         0.01%      55.000us       0.029us           0 b           0 b           0 b           0 b          1870            --  
                                             aten::add_         0.51%       2.046ms         0.89%       3.568ms       7.433us     480.000us         0.12%     493.000us       1.027us           0 b           0 b           0 b           0 b           480            --  
                                             aten::relu         0.16%     643.000us         0.89%       3.553ms      14.804us       0.000us         0.00%     300.000us       1.250us           0 b           0 b     219.00 Mb           0 b           240            --  
                                              aten::max         0.11%     432.000us         0.83%       3.305ms      13.771us       0.000us         0.00%     864.000us       3.600us           0 b           0 b      26.27 Mb       1.44 Mb           240            --  
                                          aten::maximum         0.49%       1.958ms         0.76%       3.034ms      12.642us     912.000us         0.22%     913.000us       3.804us           0 b           0 b      26.27 Mb      26.27 Mb           240            --  
                                        aten::clamp_min         0.52%       2.058ms         0.73%       2.910ms      12.125us     289.000us         0.07%     300.000us       1.250us           0 b           0 b     219.00 Mb     219.00 Mb           240            --  
                                          aten::softmax         0.10%     406.000us         0.73%       2.900ms      12.083us       0.000us         0.00%     467.000us       1.946us           0 b           0 b      52.55 Mb       1.56 Mb           240            --  
                                             cudaMalloc         0.71%       2.848ms         0.71%       2.848ms     219.077us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            13            --  
                                         aten::_softmax         0.44%       1.738ms         0.64%       2.570ms      10.708us     480.000us         0.12%     481.000us       2.004us           0 b           0 b      52.55 Mb      52.55 Mb           240            --  
                                    aten::empty_strided         0.53%       2.097ms         0.53%       2.097ms       3.813us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      26.59 Mb      26.59 Mb           550            --  
                               aten::cross_entropy_loss         0.02%      76.000us         0.47%       1.860ms     186.000us       0.000us         0.00%     149.000us      14.900us           0 b           0 b      54.25 Mb     -54.96 Mb            10            --  
