========================================================================================================================
PARAMETER SHAPES FOR ZO PERTURBATION AND UPDATE
========================================================================================================================

Model: facebook/opt-6.7b
Total trainable parameters: 516

No.    Parameter Name                                               Shape                            Elements  Memory (MB) Dtype          
------------------------------------------------------------------------------------------------------------------------
1      model.decoder.embed_tokens.weight                            (50272, 4096)                 205,914,112     392.7500 torch.float16  
2      model.decoder.embed_positions.weight                         (2050, 4096)                    8,396,800      16.0156 torch.float16  
3      model.decoder.final_layer_norm.weight                        (4096,)                             4,096       0.0078 torch.float16  
4      model.decoder.final_layer_norm.bias                          (4096,)                             4,096       0.0078 torch.float16  
5      model.decoder.layers.0.self_attn.k_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
6      model.decoder.layers.0.self_attn.k_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
7      model.decoder.layers.0.self_attn.v_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
8      model.decoder.layers.0.self_attn.v_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
9      model.decoder.layers.0.self_attn.q_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
10     model.decoder.layers.0.self_attn.q_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
11     model.decoder.layers.0.self_attn.out_proj.weight             (4096, 4096)                   16,777,216      32.0000 torch.float16  
12     model.decoder.layers.0.self_attn.out_proj.bias               (4096,)                             4,096       0.0078 torch.float16  
13     model.decoder.layers.0.self_attn_layer_norm.weight           (4096,)                             4,096       0.0078 torch.float16  
14     model.decoder.layers.0.self_attn_layer_norm.bias             (4096,)                             4,096       0.0078 torch.float16  
15     model.decoder.layers.0.fc1.weight                            (16384, 4096)                  67,108,864     128.0000 torch.float16  
16     model.decoder.layers.0.fc1.bias                              (16384,)                           16,384       0.0312 torch.float16  
17     model.decoder.layers.0.fc2.weight                            (4096, 16384)                  67,108,864     128.0000 torch.float16  
18     model.decoder.layers.0.fc2.bias                              (4096,)                             4,096       0.0078 torch.float16  
19     model.decoder.layers.0.final_layer_norm.weight               (4096,)                             4,096       0.0078 torch.float16  
20     model.decoder.layers.0.final_layer_norm.bias                 (4096,)                             4,096       0.0078 torch.float16  
21     model.decoder.layers.1.self_attn.k_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
22     model.decoder.layers.1.self_attn.k_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
23     model.decoder.layers.1.self_attn.v_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
24     model.decoder.layers.1.self_attn.v_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
25     model.decoder.layers.1.self_attn.q_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
26     model.decoder.layers.1.self_attn.q_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
27     model.decoder.layers.1.self_attn.out_proj.weight             (4096, 4096)                   16,777,216      32.0000 torch.float16  
28     model.decoder.layers.1.self_attn.out_proj.bias               (4096,)                             4,096       0.0078 torch.float16  
29     model.decoder.layers.1.self_attn_layer_norm.weight           (4096,)                             4,096       0.0078 torch.float16  
30     model.decoder.layers.1.self_attn_layer_norm.bias             (4096,)                             4,096       0.0078 torch.float16  
31     model.decoder.layers.1.fc1.weight                            (16384, 4096)                  67,108,864     128.0000 torch.float16  
32     model.decoder.layers.1.fc1.bias                              (16384,)                           16,384       0.0312 torch.float16  
33     model.decoder.layers.1.fc2.weight                            (4096, 16384)                  67,108,864     128.0000 torch.float16  
34     model.decoder.layers.1.fc2.bias                              (4096,)                             4,096       0.0078 torch.float16  
35     model.decoder.layers.1.final_layer_norm.weight               (4096,)                             4,096       0.0078 torch.float16  
36     model.decoder.layers.1.final_layer_norm.bias                 (4096,)                             4,096       0.0078 torch.float16  
37     model.decoder.layers.2.self_attn.k_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
38     model.decoder.layers.2.self_attn.k_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
39     model.decoder.layers.2.self_attn.v_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
40     model.decoder.layers.2.self_attn.v_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
41     model.decoder.layers.2.self_attn.q_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
42     model.decoder.layers.2.self_attn.q_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
