================================================================================
DiZO PROFILING SUMMARY - facebook/opt-6.7b
================================================================================

Model: facebook/opt-6.7b
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.01%     145.000us       100.00%        1.183s     236.505ms       0.000us         0.00%     875.062ms     175.012ms           0 b           0 b     -38.35 Mb           0 b             5            --  
                                 zo_gradient_estimation         0.07%     851.000us        76.15%     900.547ms     180.109ms       0.000us         0.00%     705.418ms     141.084ms           0 b           0 b      74.88 Mb      -5.00 Kb             5            --  
                                        training_step_2         0.04%     531.000us        21.48%     253.953ms     253.953ms       0.000us         0.00%     173.379ms     173.379ms           0 b           0 b      12.27 Mb           0 b             1            --  
                                  cudaStreamSynchronize        21.24%     251.192ms        21.24%     251.192ms     738.800us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           340            --  
                                        training_step_5         0.05%     534.000us        19.73%     233.357ms     233.357ms       0.000us         0.00%     175.991ms     175.991ms           0 b           0 b      18.41 Mb           0 b             1            --  
                                        training_step_4         0.05%     558.000us        19.65%     232.316ms     232.316ms       0.000us         0.00%     176.039ms     176.039ms           0 b           0 b      13.81 Mb           0 b             1            --  
                                        training_step_6         0.08%     965.000us        19.59%     231.656ms     231.656ms       0.000us         0.00%     175.975ms     175.975ms           0 b           0 b     -91.76 Mb    -113.24 Mb             1            --  
                                        training_step_3         0.04%     531.000us        19.54%     231.098ms     231.098ms       0.000us         0.00%     173.678ms     173.678ms           0 b           0 b       8.91 Mb           0 b             1            --  
                                           zo_forward_1         3.76%      44.504ms        17.65%     208.678ms      41.736ms       0.000us         0.00%      34.384ms       6.877ms           0 b        -308 b      37.27 Mb      -2.44 Gb             5            --  
                                           zo_forward_2         3.66%      43.328ms        17.22%     203.687ms      40.737ms       0.000us         0.00%      34.381ms       6.876ms           0 b        -432 b      37.62 Mb      -2.42 Gb             5            --  
                                              aten::mul         9.63%     113.913ms        15.37%     181.775ms       9.884us     296.843ms        14.51%     296.843ms      16.142us     -19.37 Kb     -19.37 Kb     433.65 Gb     433.65 Gb         18390       233.148  
                                  zo_perturb_+eps_reset         4.62%      54.635ms        13.75%     162.632ms      32.526ms       0.000us         0.00%     212.088ms      42.418ms           0 b       5.77 Kb           0 b    -221.84 Gb             5            --  
                                       zo_perturb_-2eps         4.61%      54.491ms        13.75%     162.555ms      32.511ms       0.000us         0.00%     212.331ms      42.466ms           0 b       5.63 Kb           0 b    -221.29 Gb             5            --  
                                        zo_perturb_+eps         4.60%      54.427ms        13.68%     161.801ms      32.360ms       0.000us         0.00%     212.215ms      42.443ms           0 b       5.45 Kb           0 b    -222.26 Gb             5            --  
                                       cudaLaunchKernel        12.99%     153.667ms        12.99%     153.667ms       3.480us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         44160            --  
                                            aten::copy_         0.91%      10.758ms        12.84%     151.802ms      73.334us       5.092ms         0.25%       5.092ms       2.460us          -8 b          -8 b           0 b           0 b          2070            --  
                                           aten::normal         2.99%      35.389ms        12.39%     146.566ms      14.202us       0.000us         0.00%     273.474ms      26.499us           0 b           0 b     246.77 Gb      -1.28 Gb         10320            --  
                                               aten::to         0.12%       1.449ms        12.27%     145.119ms     193.492us       0.000us         0.00%     757.000us       1.009us        -140 b         -88 b      32.47 Mb       2.59 Mb           750            --  
