================================================================================
DiZO PROFILING SUMMARY - facebook/opt-6.7b
================================================================================

Model: facebook/opt-6.7b
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     194.000us       100.00%       86.042s       17.208s       0.000us         0.00%        1.136s     227.273ms           0 b           0 b       6.16 Mb           0 b             5            --  
                                 zo_gradient_estimation         0.00%     928.000us        99.59%       85.689s       17.138s       0.000us         0.00%     937.831ms     187.566ms           0 b           0 b       6.16 Mb      -7.50 Kb             5            --  
                                           zo_forward_1         0.05%      44.043ms        98.86%       85.064s       17.013s       0.000us         0.00%     110.387ms      22.077ms           0 b           0 b     -54.82 Mb    -391.14 Mb             5            --  
         _compile.<locals>.compile_inner (dynamo_timed)         7.74%        6.657s        98.72%       84.943s       16.989s       0.000us         0.00%      55.817ms      11.163ms           0 b     -33.82 Mb    -116.63 Mb    -116.75 Mb             5            --  
          OutputGraph.call_user_compiler (dynamo_timed)         2.24%        1.927s        89.11%       76.674s       15.335s       0.000us         0.00%      12.417ms       2.483ms           0 b           0 b      48.00 Kb     -48.00 Kb             5            --  
          create_aot_dispatcher_function (dynamo_timed)         5.93%        5.099s        86.87%       74.747s       14.949s       0.000us         0.00%      12.417ms       2.483ms           0 b     -25.97 Kb      96.00 Kb    -165.50 Kb             5            --  
    compile_fx.<locals>.fw_compiler_base (dynamo_timed)         5.31%        4.566s        60.05%       51.670s       10.334s       0.000us         0.00%      11.725ms       2.345ms           0 b         152 b     -67.50 Kb      -1.34 Mb             5            --  
                        compile_fx_inner (dynamo_timed)         4.87%        4.193s        51.52%       44.333s        8.867s       0.000us         0.00%       1.755ms     351.000us           0 b       3.70 Kb     -18.00 Kb     -49.00 Kb             5            --  
         GraphLowering.compile_to_module (dynamo_timed)         3.33%        2.866s        26.59%       22.877s        4.575s       0.000us         0.00%      82.000us      16.400us           0 b           0 b           0 b           0 b             5            --  
                                        training_step_4         0.00%     608.000us        20.94%       18.020s       18.020s       0.000us         0.00%     206.343ms     206.343ms           0 b           0 b      16.88 Mb           0 b             1            --  
                                        training_step_2         0.00%     597.000us        19.99%       17.204s       17.204s       0.000us         0.00%     242.316ms     242.316ms           0 b           0 b       5.40 Mb           0 b             1            --  
                                        training_step_5         0.00%     594.000us        19.78%       17.015s       17.015s       0.000us         0.00%     221.929ms     221.929ms           0 b           0 b     -14.58 Mb           0 b             1            --  
                                        training_step_6         0.00%     656.000us        19.68%       16.934s       16.934s       0.000us         0.00%     233.194ms     233.194ms           0 b           0 b      -3.81 Mb           0 b             1            --  
                                        training_step_3         0.00%     659.000us        19.61%       16.869s       16.869s       0.000us         0.00%     232.582ms     232.582ms           0 b           0 b       2.27 Mb           0 b             1            --  
                                           aten::detach         7.65%        6.580s        12.92%       11.113s      46.018us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -30.00 Kb     -29.00 Kb        241500            --  
                       GraphLowering.run (dynamo_timed)        12.31%       10.591s        12.50%       10.759s        2.152s       0.000us         0.00%     469.000us      93.800us           0 b     -27.71 Kb     -49.00 Kb     -49.00 Kb             5            --  
                      Scheduler.__init__ (dynamo_timed)        12.49%       10.748s        12.50%       10.757s        2.151s       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5            --  
                       Scheduler.codegen (dynamo_timed)         9.69%        8.334s        10.30%        8.862s        1.772s       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5            --  
