step,baseline_loss,flat_buffer_loss,loss_diff,baseline_grad,flat_buffer_grad,grad_diff
0,5.30468750,5.30468750,0.00000000e+00,566.50000000,564.50000000,2.00000000e+00
1,5.05468750,5.05468750,0.00000000e+00,-277.25000000,-279.25000000,2.00000000e+00
2,6.26562500,6.26953125,3.90625000e-03,199.25000000,203.12500000,3.87500000e+00
3,5.08593750,5.08593750,0.00000000e+00,148.37500000,148.37500000,0.00000000e+00
4,4.85937500,4.85937500,0.00000000e+00,58.59375000,58.59375000,0.00000000e+00
5,4.71875000,4.71484375,3.90625000e-03,89.81250000,87.87500000,1.93750000e+00
6,5.63281250,5.63281250,0.00000000e+00,0.00000000,0.00000000,0.00000000e+00
7,7.96484375,7.96875000,3.90625000e-03,-33.18750000,-35.15625000,1.96875000e+00
8,6.74218750,6.74218750,0.00000000e+00,-150.37500000,-148.37500000,2.00000000e+00
9,7.37500000,7.37109375,3.90625000e-03,463.00000000,463.00000000,0.00000000e+00
10,7.17187500,7.19531250,2.34375000e-02,-386.75000000,-375.00000000,1.17500000e+01
11,6.92187500,6.81250000,1.09375000e-01,425.75000000,375.00000000,5.07500000e+01
12,6.56250000,6.57031250,7.81250000e-03,0.00000000,5.85937500,5.85937500e+00
13,7.11718750,7.09765625,1.95312500e-02,58.59375000,48.81250000,9.78125000e+00
14,7.67187500,7.67187500,0.00000000e+00,136.75000000,121.06250000,1.56875000e+01
15,7.35937500,7.35937500,0.00000000e+00,-242.12500000,-238.25000000,3.87500000e+00
16,6.04296875,6.04687500,3.90625000e-03,158.25000000,156.25000000,2.00000000e+00
17,4.42968750,4.42968750,0.00000000e+00,-209.00000000,-207.00000000,2.00000000e+00
18,6.40625000,6.38281250,2.34375000e-02,-140.62500000,-154.25000000,1.36250000e+01
19,6.80468750,6.78125000,2.34375000e-02,-93.75000000,-109.37500000,1.56250000e+01
20,5.60156250,5.60156250,0.00000000e+00,121.06250000,121.06250000,0.00000000e+00
21,3.97656250,3.96875000,7.81250000e-03,-625.00000000,-631.00000000,6.00000000e+00
22,5.64062500,5.65234375,1.17187500e-02,-37.09375000,-33.18750000,3.90625000e+00
23,6.70312500,6.70312500,0.00000000e+00,199.25000000,187.50000000,1.17500000e+01
24,6.07812500,6.07421875,3.90625000e-03,-203.12500000,-205.12500000,2.00000000e+00
25,5.90625000,5.89062500,1.56250000e-02,-615.00000000,-619.00000000,4.00000000e+00
26,11.51562500,11.51562500,0.00000000e+00,101.56250000,101.56250000,0.00000000e+00
27,8.03906250,8.03125000,7.81250000e-03,-343.75000000,-351.50000000,7.75000000e+00
28,4.54687500,4.55468750,7.81250000e-03,212.87500000,218.75000000,5.87500000e+00
29,4.44140625,4.44921875,7.81250000e-03,-316.50000000,-312.50000000,4.00000000e+00
30,5.42578125,5.41015625,1.56250000e-02,224.62500000,220.75000000,3.87500000e+00
31,5.54687500,5.54687500,0.00000000e+00,-582.00000000,-586.00000000,4.00000000e+00
32,7.30859375,7.31250000,3.90625000e-03,-33.18750000,-33.18750000,0.00000000e+00
33,6.17187500,6.17187500,0.00000000e+00,-420.00000000,-421.75000000,1.75000000e+00
34,6.57421875,6.52734375,4.68750000e-02,-126.93750000,-138.62500000,1.16875000e+01
35,5.66015625,5.66015625,0.00000000e+00,91.81250000,95.68750000,3.87500000e+00
36,6.45312500,6.44531250,7.81250000e-03,222.62500000,216.75000000,5.87500000e+00
37,5.29687500,5.29687500,0.00000000e+00,222.62500000,224.62500000,2.00000000e+00
38,7.10156250,7.10937500,7.81250000e-03,214.87500000,218.75000000,3.87500000e+00
39,6.43359375,6.44531250,1.17187500e-02,166.00000000,166.00000000,0.00000000e+00
40,7.57031250,7.57031250,0.00000000e+00,181.62500000,181.62500000,0.00000000e+00
41,4.52343750,4.51562500,7.81250000e-03,5.85937500,3.90625000,1.95312500e+00
42,5.80468750,5.80468750,0.00000000e+00,-269.50000000,-267.50000000,2.00000000e+00
43,5.52734375,5.51953125,7.81250000e-03,-650.50000000,-658.00000000,7.50000000e+00
44,4.48046875,4.47656250,3.90625000e-03,-302.75000000,-298.75000000,4.00000000e+00
45,7.06640625,7.06250000,3.90625000e-03,-37.09375000,-42.96875000,5.87500000e+00
46,7.35937500,7.36718750,7.81250000e-03,148.37500000,148.37500000,0.00000000e+00
47,6.90625000,6.89843750,7.81250000e-03,-54.68750000,-62.50000000,7.81250000e+00
48,6.46875000,6.46093750,7.81250000e-03,312.50000000,308.50000000,4.00000000e+00
