================================================================================
DiZO PROFILING SUMMARY - facebook/opt-13b
================================================================================

Model: facebook/opt-13b
Task: SST2
Batch Size: 1
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.01%     198.000us       100.00%        1.994s     398.758ms       0.000us         0.00%        1.614s     322.808ms           0 b           0 b      15.73 Mb           0 b             5            --  
                                 zo_gradient_estimation         0.05%     953.000us        73.06%        1.457s     291.331ms       0.000us         0.00%        1.296s     259.203ms           0 b           8 b      15.73 Mb      -5.00 Kb             5            --  
                                  cudaStreamSynchronize        25.72%     512.791ms        25.72%     512.791ms       1.221ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           420            --  
                                       cudaLaunchKernel        25.48%     508.005ms        25.48%     508.005ms       9.238us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         54990            --  
                                        training_step_2         0.01%     246.000us        21.51%     428.772ms     428.772ms       0.000us         0.00%     322.339ms     322.339ms           0 b           0 b       6.91 Mb           0 b             1            --  
                                        training_step_6         0.01%     232.000us        19.69%     392.564ms     392.564ms       0.000us         0.00%     322.777ms     322.777ms           0 b           0 b       1.92 Mb           0 b             1            --  
                                        training_step_3         0.01%     230.000us        19.64%     391.664ms     391.664ms       0.000us         0.00%     323.056ms     323.056ms           0 b           0 b       1.73 Mb           0 b             1            --  
                                        training_step_4         0.01%     292.000us        19.59%     390.524ms     390.524ms       0.000us         0.00%     323.018ms     323.018ms           0 b           0 b       2.49 Mb           0 b             1            --  
                                        training_step_5         0.01%     230.000us        19.56%     390.069ms     390.069ms       0.000us         0.00%     322.849ms     322.849ms           0 b           0 b       2.69 Mb           0 b             1            --  
                                            aten::copy_         0.69%      13.715ms        18.20%     362.858ms     145.143us       4.950ms         0.14%       4.950ms       1.980us         -20 b         -20 b           0 b           0 b          2500            --  
                                               aten::to         0.07%       1.453ms        17.78%     354.462ms     389.519us       0.000us         0.00%     824.000us       0.905us        -256 b        -152 b      11.57 Mb     411.50 Kb           910            --  
                                         aten::_to_copy         0.22%       4.318ms        17.72%     353.266ms     410.774us       0.000us         0.00%     817.000us       0.950us        -120 b        -116 b      11.57 Mb           0 b           860            --  
                                              aten::mul         6.69%     133.362ms        17.67%     352.313ms      15.351us     560.212ms        15.57%     560.212ms      24.410us     -28.09 Kb     -28.09 Kb     836.89 Gb     836.89 Gb         22950       449.905  
                                           zo_forward_1         2.89%      57.574ms        17.16%     342.219ms      68.444ms       0.000us         0.00%      51.008ms      10.202ms           0 b        -320 b       7.87 Mb    -791.26 Mb             5            --  
                                           zo_forward_2         2.89%      57.694ms        16.82%     335.370ms      67.074ms       0.000us         0.00%      50.945ms      10.189ms           0 b        -356 b       7.87 Mb    -789.95 Mb             5            --  
                                    zo_parameter_update         0.06%       1.158ms        16.28%     324.570ms      64.914ms       0.000us         0.00%     318.016ms      63.603ms           0 b           0 b           0 b     -50.00 Kb             5            --  
                                              zo_update         2.50%      49.942ms        16.22%     323.412ms      64.682ms       0.000us         0.00%     318.016ms      63.603ms           0 b       3.50 Kb      50.00 Kb    -316.71 Gb             5            --  
                                           aten::normal         2.34%      46.625ms        13.74%     274.011ms      21.274us       0.000us         0.00%     546.967ms      42.466us           0 b           0 b     477.51 Gb      -1.32 Gb         12880            --  
