================================================================================
DiZO PROFILING SUMMARY - facebook/opt-2.7b
================================================================================

Model: facebook/opt-2.7b
Task: SST2
Batch Size: 4
Steps: 10

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.01%     235.000us       100.00%        2.010s     201.048ms       0.000us         0.00%     837.503ms      83.750ms           0 b           0 b      43.32 Mb           0 b            10            --  
                                 zo_gradient_estimation         0.08%       1.590ms        86.73%        1.744s     174.375ms       0.000us         0.00%     688.928ms      68.893ms           0 b           0 b     196.14 Mb     -10.50 Kb            10            --  
                                  zo_perturb_+eps_reset         6.56%     131.965ms        18.13%     364.419ms      36.442ms       0.000us         0.00%     195.732ms      19.573ms           0 b      15.04 Kb           0 b    -194.72 Gb            10            --  
                                       zo_perturb_-2eps         6.41%     128.911ms        17.81%     357.976ms      35.798ms       0.000us         0.00%     194.949ms      19.495ms           0 b      15.02 Kb    -747.00 Kb    -194.05 Gb            10            --  
                                        zo_perturb_+eps         6.39%     128.533ms        17.79%     357.638ms      35.764ms       0.000us         0.00%     195.032ms      19.503ms           0 b      14.02 Kb     747.00 Kb    -193.00 Gb            10            --  
                                           zo_forward_1         4.69%      94.281ms        17.48%     351.527ms      35.153ms       0.000us         0.00%      51.998ms       5.200ms           0 b        -676 b      98.03 Mb      -4.29 Gb            10            --  
                                              aten::mul        11.42%     229.597ms        16.98%     341.366ms       9.281us     259.233ms         9.39%     272.299ms       7.403us     -49.44 Kb     -49.44 Kb     346.08 Gb     346.08 Gb         36780       185.778  
                                           aten::normal         3.17%      63.719ms        16.46%     331.016ms      16.038us       0.000us         0.00%     275.119ms      13.329us           0 b           0 b     197.83 Gb           0 b         20640            --  
                                           zo_forward_2         4.65%      93.462ms        15.42%     309.932ms      30.993ms       0.000us         0.00%      51.147ms       5.115ms           0 b        -740 b      98.11 Mb      -4.24 Gb            10            --  
                                       cudaLaunchKernel        14.29%     287.234ms        14.29%     287.234ms       3.252us      28.578ms         1.03%      28.741ms       0.325us           0 b           0 b           0 b           0 b         88320            --  
                                    zo_parameter_update         0.10%       2.092ms        12.84%     258.094ms      25.809ms       0.000us         0.00%     148.552ms      14.855ms           0 b           0 b           0 b     -50.00 Kb            10            --  
                                              zo_update         4.63%      93.130ms        12.73%     256.002ms      25.600ms       0.000us         0.00%     148.552ms      14.855ms           0 b       5.25 Kb      50.00 Kb    -146.73 Gb            10            --  
                                        training_step_6         0.02%     402.000us        11.21%     225.461ms     225.461ms       0.000us         0.00%      79.289ms      79.289ms           0 b           0 b      21.48 Mb           0 b             1            --  
                                        training_step_8         0.02%     424.000us        10.92%     219.579ms     219.579ms       0.000us         0.00%      79.415ms      79.415ms           0 b           0 b      23.89 Mb           0 b             1            --  
                                          aten::normal_         6.17%     124.112ms        10.02%     201.419ms       9.759us     277.233ms        10.04%     289.247ms      14.014us           0 b           0 b           0 b           0 b         20640            --  
                                        training_step_7         0.04%     787.000us        10.00%     201.124ms     201.124ms       0.000us         0.00%      81.514ms      81.514ms           0 b           0 b    -113.78 Mb    -152.81 Mb             1            --  
                                       training_step_11         0.04%     766.000us         9.94%     199.943ms     199.943ms       0.000us         0.00%      79.251ms      79.251ms           0 b           0 b      14.58 Mb           0 b             1            --  
                                        training_step_5         0.02%     435.000us         9.90%     199.073ms     199.073ms       0.000us         0.00%      79.172ms      79.172ms           0 b           0 b      18.41 Mb           0 b             1            --  
