================================================================================
DiZO PROFILING SUMMARY - facebook/opt-2.7b
================================================================================

Model: facebook/opt-2.7b
Task: SST2
Batch Size: 4
Steps: 10

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     265.000us       100.00%      174.815s       17.482s       0.000us         0.00%       10.918s        1.092s           0 b           0 b       3.88 Mb           0 b            10            --  
                                 zo_gradient_estimation         0.00%       1.702ms        99.84%      174.537s       17.454s       0.000us         0.00%       10.769s        1.077s           0 b           0 b       3.88 Mb     -14.50 Kb            10            --  
                                           zo_forward_1         0.04%      67.749ms        99.15%      173.328s       17.333s       0.000us         0.00%       10.005s        1.001s           0 b         -32 b     -94.15 Mb    -440.66 Mb            10            --  
         _compile.<locals>.compile_inner (dynamo_timed)         6.34%       11.081s        94.68%      165.519s       18.391s       0.000us         0.00%        3.587s     398.560ms           0 b     -60.63 Mb    -191.69 Mb    -191.93 Mb             9            --  
          OutputGraph.call_user_compiler (dynamo_timed)         1.18%        2.066s        86.69%      151.541s       16.838s       0.000us         0.00%        3.569s     396.543ms           0 b           0 b      96.00 Kb           0 b             9            --  
          create_aot_dispatcher_function (dynamo_timed)         5.25%        9.174s        85.50%      149.475s       16.608s       0.000us         0.00%        3.569s     396.543ms           0 b     -46.71 Kb      96.00 Kb    -300.00 Kb             9            --  
    compile_fx.<locals>.fw_compiler_base (dynamo_timed)         5.24%        9.160s        60.41%      105.610s       11.734s       0.000us         0.00%        3.568s     396.452ms           0 b    -149.13 Kb     -56.50 Kb     -44.31 Gb             9            --  
                        compile_fx_inner (dynamo_timed)         3.45%        6.030s        50.33%       87.982s        9.776s       0.000us         0.00%     973.000us     108.111us           0 b       6.79 Kb     -52.00 Kb           0 b             9            --  
         GraphLowering.compile_to_module (dynamo_timed)         7.11%       12.430s        27.90%       48.773s        5.419s       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -96.00 Kb           0 b             9            --  
                                           aten::detach         8.22%       14.365s        12.96%       22.650s      52.144us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -203.50 Kb    -200.50 Kb        434376            --  
                       GraphLowering.run (dynamo_timed)        11.24%       19.642s        11.41%       19.953s        2.217s       0.000us         0.00%     576.000us      64.000us           0 b     -49.89 Kb     -50.00 Kb     -50.00 Kb             9            --  
                                       training_step_11         0.00%     523.000us        11.40%       19.921s       19.921s       0.000us         0.00%        1.484s        1.484s           0 b           0 b     -29.76 Mb           0 b             1            --  
                                        training_step_8         0.00%     467.000us        11.29%       19.730s       19.730s       0.000us         0.00%        1.497s        1.497s           0 b           0 b     -14.42 Mb           0 b             1            --  
                                        training_step_3         0.00%     501.000us        11.27%       19.700s       19.700s       0.000us         0.00%        1.948s        1.948s           0 b           0 b      -3.79 Mb           0 b             1            --  
                                        training_step_7         0.00%     507.000us        11.15%       19.493s       19.493s       0.000us         0.00%        1.010s        1.010s           0 b           0 b      16.83 Mb           0 b             1            --  
                                        training_step_2         0.00%     486.000us        11.05%       19.323s       19.323s       0.000us         0.00%     949.568ms     949.568ms           0 b           0 b       1.53 Mb           0 b             1            --  
                                        training_step_9         0.00%     507.000us        11.01%       19.253s       19.253s       0.000us         0.00%        1.042s        1.042s           0 b           0 b      -3.95 Mb           0 b             1            --  
                                        training_step_6         0.00%     518.000us        11.01%       19.251s       19.251s       0.000us         0.00%        1.039s        1.039s           0 b           0 b       3.07 Mb           0 b             1            --  
