================================================================================
DiZO PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Steps: 10

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.02%     231.000us       100.00%        1.532s     153.206ms       0.000us         0.00%     185.359ms      18.536ms           0 b           0 b      44.15 Mb           0 b            10            --  
                                 zo_gradient_estimation         0.09%       1.445ms        86.26%        1.322s     132.162ms       0.000us         0.00%     156.052ms      15.605ms           0 b           0 b      43.60 Mb     -10.50 Kb            10            --  
                                           zo_forward_1         4.46%      68.260ms        18.42%     282.208ms      28.221ms       0.000us         0.00%      21.114ms       2.111ms           0 b        -504 b     -53.40 Mb      -1.55 Gb            10            --  
                                  zo_perturb_+eps_reset         6.10%      93.391ms        17.17%     262.990ms      26.299ms       0.000us         0.00%      38.119ms       3.812ms           0 b      10.55 Kb     893.50 Kb     -24.19 Gb            10            --  
                                       zo_perturb_-2eps         6.21%      95.094ms        17.06%     261.367ms      26.137ms       0.000us         0.00%      37.329ms       3.733ms           0 b      10.68 Kb      -1.74 Mb     -24.32 Gb            10            --  
                                           zo_forward_2         4.59%      70.331ms        16.81%     257.543ms      25.754ms       0.000us         0.00%      20.800ms       2.080ms           0 b        -540 b      98.14 Mb      -1.39 Gb            10            --  
                                              aten::mul        11.05%     169.223ms        16.74%     256.510ms       9.274us      50.763ms         3.04%      53.251ms       1.925us     -36.10 Kb     -36.10 Kb      43.44 Gb      43.44 Gb         27660        23.234  
                                        zo_perturb_+eps         5.89%      90.258ms        16.67%     255.427ms      25.543ms       0.000us         0.00%      38.642ms       3.864ms           0 b      10.51 Kb    -285.50 Kb     -24.12 Gb            10            --  
                                           aten::normal         3.19%      48.949ms        15.33%     234.874ms      15.134us       0.000us         0.00%      55.266ms       3.561us           0 b           0 b      24.71 Gb           0 b         15520            --  
                                       cudaLaunchKernel        14.42%     220.974ms        14.42%     220.974ms       3.304us       6.094ms         0.36%       6.098ms       0.091us           0 b           0 b           0 b           0 b         66880            --  
                                        training_step_8         0.03%     399.000us        13.88%     212.699ms     212.699ms       0.000us         0.00%      18.115ms      18.115ms           0 b           0 b    -129.95 Mb           0 b             1            --  
                                    zo_parameter_update         0.12%       1.898ms        13.11%     200.833ms      20.083ms       0.000us         0.00%      29.283ms       2.928ms           0 b           0 b     565.00 Kb     -20.00 Kb            10            --  
                                              zo_update         4.43%      67.915ms        12.98%     198.935ms      19.893ms       0.000us         0.00%      29.283ms       2.928ms           0 b       4.20 Kb     585.00 Kb     -18.07 Gb            10            --  
                                        training_step_4         0.05%     705.000us         9.81%     150.308ms     150.308ms       0.000us         0.00%      17.629ms      17.629ms           0 b           0 b      13.81 Mb           0 b             1            --  
                                        training_step_2         0.04%     570.000us         9.71%     148.723ms     148.723ms       0.000us         0.00%      25.886ms      25.886ms           0 b           0 b      12.27 Mb           0 b             1            --  
                                        training_step_7         0.02%     362.000us         9.58%     146.774ms     146.774ms       0.000us         0.00%      18.259ms      18.259ms           0 b           0 b      38.44 Mb           0 b             1            --  
                                       training_step_11         0.03%     414.000us         9.58%     146.726ms     146.726ms       0.000us         0.00%      17.666ms      17.666ms           0 b           0 b      16.11 Mb           0 b             1            --  
                                        training_step_3         0.03%     416.000us         9.57%     146.618ms     146.618ms       0.000us         0.00%      17.422ms      17.422ms           0 b           0 b       8.44 Mb           0 b             1            --  
