================================================================================
DiZO PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Steps: 10

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     238.000us       100.00%      119.687s       11.969s       0.000us         0.00%        2.688s     268.808ms           0 b           0 b       4.07 Mb           0 b            10            --  
                                 zo_gradient_estimation         0.00%       1.461ms        99.83%      119.485s       11.949s       0.000us         0.00%        2.659s     265.922ms           0 b           0 b       6.66 Mb     -14.50 Kb            10            --  
                                           zo_forward_1         0.05%      54.482ms        99.14%      118.657s       11.866s       0.000us         0.00%        2.534s     253.406ms           0 b           8 b     -93.66 Mb    -237.08 Mb            10            --  
         _compile.<locals>.compile_inner (dynamo_timed)         8.08%        9.671s        99.01%      118.505s       13.167s       0.000us         0.00%        2.520s     279.988ms           0 b     -46.12 Mb    -192.13 Mb    -192.38 Mb             9            --  
          OutputGraph.call_user_compiler (dynamo_timed)         1.27%        1.526s        89.05%      106.577s       11.842s       0.000us         0.00%        2.457s     273.053ms           0 b           0 b     144.00 Kb           0 b             9            --  
          create_aot_dispatcher_function (dynamo_timed)         5.76%        6.893s        87.77%      105.051s       11.672s       0.000us         0.00%        2.457s     273.053ms           0 b     -46.18 Kb     144.00 Kb    -223.00 Kb             9            --  
    compile_fx.<locals>.fw_compiler_base (dynamo_timed)         5.41%        6.481s        61.05%       73.074s        8.119s       0.000us         0.00%        2.456s     272.841ms           0 b    -132.83 Kb     -41.00 Kb     -19.25 Gb             9            --  
                        compile_fx_inner (dynamo_timed)         4.64%        5.548s        49.92%       59.753s        6.639s       0.000us         0.00%     817.000us      90.778us           0 b       4.98 Kb      -3.50 Kb     -37.00 Kb             9            --  
         GraphLowering.compile_to_module (dynamo_timed)         3.71%        4.441s        25.65%       30.702s        3.411s       0.000us         0.00%       6.000us       0.667us           0 b           0 b      -1.00 Kb           0 b             9            --  
                                           aten::detach         7.52%        8.996s        12.73%       15.232s      46.348us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -35.00 Kb     -33.50 Kb        328639            --  
                       GraphLowering.run (dynamo_timed)        12.02%       14.388s        12.21%       14.618s        1.624s       0.000us         0.00%     496.000us      55.111us           0 b     -37.32 Kb     -73.50 Kb     -73.50 Kb             9            --  
                                        training_step_8         0.00%     529.000us        12.21%       14.610s       14.610s       0.000us         0.00%        1.090s        1.090s           0 b           0 b     -15.18 Mb           0 b             1            --  
                                       training_step_11         0.00%     497.000us        11.71%       14.014s       14.014s       0.000us         0.00%     871.617ms     871.617ms           0 b           0 b     -27.08 Mb           0 b             1            --  
                                        training_step_9         0.00%     500.000us        11.50%       13.766s       13.766s       0.000us         0.00%     303.552ms     303.552ms           0 b           0 b      -4.00 Mb           0 b             1            --  
                      Scheduler.__init__ (dynamo_timed)        11.42%       13.666s        11.43%       13.678s        1.520s       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Kb      -1.00 Kb             9            --  
                                        training_step_3         0.00%     520.000us        11.08%       13.262s       13.262s       0.000us         0.00%      18.509ms      18.509ms           0 b           0 b      -3.83 Mb           0 b             1            --  
                                        training_step_7         0.00%     502.000us        10.95%       13.102s       13.102s       0.000us         0.00%     313.771ms     313.771ms           0 b           0 b      16.80 Mb           0 b             1            --  
                                        training_step_5         0.00%     498.000us        10.76%       12.877s       12.877s       0.000us         0.00%      18.833ms      18.833ms           0 b           0 b       6.99 Mb           0 b             1            --  
