================================================================================
DiZO PROFILING SUMMARY
================================================================================

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.02%     115.000us       100.00%     653.998ms     130.800ms       0.000us         0.00%     101.426ms      20.285ms           0 b           0 b      24.00 Mb           0 b             5            --  
                                 zo_gradient_estimation         0.10%     642.000us        85.89%     561.756ms     112.351ms       0.000us         0.00%      84.091ms      16.818ms           0 b           0 b      23.99 Mb      -5.00 Kb             5            --  
                                        training_step_5         0.03%     181.000us        21.03%     137.542ms     137.542ms       0.000us         0.00%      20.195ms      20.195ms           0 b           0 b       3.05 Mb           0 b             1            --  
                                        training_step_4         0.06%     367.000us        20.12%     131.612ms     131.612ms       0.000us         0.00%      20.373ms      20.373ms           0 b           0 b       8.02 Mb           0 b             1            --  
                                        training_step_2         0.03%     211.000us        19.64%     128.477ms     128.477ms       0.000us         0.00%      20.324ms      20.324ms           0 b           0 b       5.37 Mb           0 b             1            --  
                                        training_step_6         0.03%     179.000us        19.64%     128.419ms     128.419ms       0.000us         0.00%      20.136ms      20.136ms           0 b           0 b       3.57 Mb           0 b             1            --  
                                        training_step_3         0.03%     173.000us        19.55%     127.833ms     127.833ms       0.000us         0.00%      20.398ms      20.398ms           0 b           0 b       4.00 Mb           0 b             1            --  
                                  zo_perturb_+eps_reset         6.17%      40.327ms        18.05%     118.078ms      23.616ms       0.000us         0.00%      20.723ms       4.145ms           0 b       5.12 Kb      12.00 Kb     -11.09 Gb             5            --  
                                              aten::mul        11.94%      78.083ms        18.02%     117.824ms       8.519us      26.881ms         3.64%      26.881ms       1.944us     -17.95 Kb     -17.95 Kb      21.66 Gb      21.66 Gb         13830     11597.183  
                                       zo_perturb_-2eps         6.13%      40.115ms        17.79%     116.363ms      23.273ms       0.000us         0.00%      21.325ms       4.265ms           0 b       5.23 Kb     946.00 Kb     -10.97 Gb             5            --  
                                        zo_perturb_+eps         6.03%      39.423ms        17.30%     113.130ms      22.626ms       0.000us         0.00%      20.729ms       4.146ms           0 b       4.80 Kb     958.00 Kb     -10.94 Gb             5            --  
                                           zo_forward_1         5.33%      34.846ms        17.27%     112.937ms      22.587ms       0.000us         0.00%      10.677ms       2.135ms           0 b        -244 b      11.06 Mb    -140.35 Mb             5            --  
                                           aten::normal         4.19%      27.380ms        15.74%     102.929ms      13.264us       0.000us         0.00%      31.732ms       4.089us           0 b           0 b      12.35 Gb      -6.03 Mb          7760            --  
                                       cudaLaunchKernel        15.45%     101.059ms        15.45%     101.059ms       3.021us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -8.00 Mb      -8.00 Mb         33452            --  
                                           zo_forward_2         4.71%      30.778ms        15.33%     100.267ms      20.053ms       0.000us         0.00%      10.617ms       2.123ms           0 b        -256 b      11.06 Mb    -143.83 Mb             5            --  
                                    zo_parameter_update         0.14%     889.000us        13.68%      89.494ms      17.899ms       0.000us         0.00%      17.325ms       3.465ms           0 b           0 b      12.00 Kb     -10.00 Kb             5            --  
                                              zo_update         4.42%      28.920ms        13.55%      88.605ms      17.721ms       0.000us         0.00%      17.325ms       3.465ms           0 b       3.06 Kb      22.00 Kb      -8.13 Gb             5            --  
                                          aten::normal_         5.39%      35.220ms         9.08%      59.405ms       7.655us      35.170ms         4.76%      35.170ms       4.532us           0 b           0 b           0 b           0 b          7760            --  
                                           aten::linear         1.64%      10.737ms         9.08%      59.377ms      40.393us       0.000us         0.00%      10.502ms       7.144us           0 b           0 b     113.87 Mb       2.79 Mb          1470            --  
                                              aten::add         6.15%      40.208ms         8.50%      55.615ms       8.465us      14.918ms         2.02%      14.918ms       2.271us         -32 b         -32 b       9.30 Gb       9.30 Gb          6570      4979.786  
                                            aten::addmm         4.26%      27.860ms         6.32%      41.338ms      28.707us      10.427ms         1.41%      10.427ms       7.241us           0 b           0 b      93.12 Mb     103.12 Mb          1440    130459.632  
                                            aten::empty         4.84%      31.655ms         4.84%      31.655ms       3.015us       0.000us         0.00%       0.000us       0.000us       1.86 Kb       1.86 Kb      12.44 Gb      12.44 Gb         10500            --  
                                            aten::clone         0.52%       3.433ms         2.89%      18.904ms      18.717us       0.000us         0.00%       2.817ms       2.789us           0 b           0 b      60.57 Mb      -6.57 Mb          1010            --  
                                            aten::copy_         1.19%       7.758ms         2.60%      17.003ms      10.830us       3.697ms         0.50%       3.697ms       2.355us          -8 b          -8 b           0 b           0 b          1570            --  
                                              aten::sub         1.83%      11.949ms         2.50%      16.365ms       8.328us       4.602ms         0.62%       4.602ms       2.342us        -344 b        -344 b       3.08 Gb       3.08 Gb          1965            --  
                                       aten::layer_norm         0.19%       1.216ms         2.31%      15.129ms      31.519us       0.000us         0.00%       1.919ms       3.998us           0 b           0 b      20.36 Mb    -333.50 Kb           480            --  
                                       aten::contiguous         0.28%       1.842ms         2.30%      15.030ms      20.311us       0.000us         0.00%       1.938ms       2.619us           0 b           0 b      50.43 Mb       3.68 Mb           740            --  
                                aten::native_layer_norm         1.02%       6.642ms         2.13%      13.913ms      28.985us       1.919ms         0.26%       1.919ms       3.998us           0 b           0 b      20.69 Mb     -32.00 Kb           480            --  
                                              aten::bmm         1.37%       8.983ms         1.67%      10.890ms      22.688us       1.440ms         0.19%       1.440ms       3.000us           0 b           0 b      12.07 Mb      12.07 Mb           480       256.377  
                                               aten::to         0.13%     820.000us         1.59%      10.385ms      17.602us       0.000us         0.00%     656.000us       1.112us        -176 b        -112 b       2.09 Mb     172.50 Kb           590            --  
                                         aten::_to_copy         0.33%       2.171ms         1.50%       9.781ms      18.113us       0.000us         0.00%     679.000us       1.257us         -76 b         -68 b       2.09 Mb           0 b           540            --  
                                    cudaLaunchKernelExC         0.91%       5.944ms         0.91%       5.944ms       4.358us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -2.00 Mb      -2.00 Mb          1364            --  
                                          aten::reshape         0.25%       1.614ms         0.90%       5.878ms       3.945us       0.000us         0.00%     720.000us       0.483us           0 b           0 b      10.12 Mb           0 b          1490            --  
                                                aten::t         0.42%       2.727ms         0.79%       5.167ms       3.515us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1470            --  
                                        aten::transpose         0.69%       4.544ms         0.75%       4.880ms       1.828us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2670            --  
                                       aten::empty_like         0.30%       1.963ms         0.74%       4.863ms       4.863us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      60.57 Mb       6.57 Mb          1000            --  
                                             aten::relu         0.10%     677.000us         0.52%       3.422ms      14.258us       0.000us         0.00%     240.000us       1.000us           0 b           0 b      40.50 Mb           0 b           240            --  
                                              aten::max         0.07%     450.000us         0.46%       3.016ms      12.567us       0.000us         0.00%     893.000us       3.721us           0 b           0 b       1.95 Mb     205.50 Kb           240            --  
                                  cudaFuncGetAttributes         0.43%       2.821ms         0.43%       2.821ms       2.001us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1410            --  
                                          aten::maximum         0.27%       1.791ms         0.43%       2.792ms      11.633us     976.000us         0.13%     976.000us       4.067us           0 b           0 b       1.95 Mb       1.95 Mb           240            --  
                                        aten::clamp_min         0.29%       1.887ms         0.42%       2.745ms      11.438us     240.000us         0.03%     240.000us       1.000us           0 b           0 b      40.50 Mb      40.50 Mb           240            --  
                                          aten::softmax         0.05%     317.000us         0.40%       2.646ms      11.025us       0.000us         0.00%     439.000us       1.829us           0 b           0 b       3.82 Mb       4.50 Kb           240            --  
                                         aten::_softmax         0.23%       1.514ms         0.36%       2.338ms       9.742us     441.000us         0.06%     441.000us       1.837us           0 b           0 b       3.82 Mb       3.82 Mb           240            --  
                                           aten::matmul         0.04%     257.000us         0.31%       2.037ms      67.900us       0.000us         0.00%     293.000us       9.767us           0 b           0 b      22.75 Mb           0 b            30            --  
                                        cudaMemcpyAsync         0.30%       1.942ms         0.30%       1.942ms       6.936us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           280            --  
                                    aten::empty_strided         0.29%       1.877ms         0.29%       1.877ms       3.413us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.10 Mb       2.10 Mb           550            --  
                                               aten::mm         0.21%       1.353ms         0.27%       1.750ms      58.333us     293.000us         0.04%     293.000us       9.767us           0 b           0 b      22.75 Mb      22.75 Mb            30     11572.347  
                                        aten::embedding         0.02%     134.000us         0.22%       1.412ms      70.600us       0.000us         0.00%     112.000us       5.600us           0 b           0 b     648.00 Kb           0 b            20            --  
                                  cudaStreamSynchronize         0.21%       1.354ms         0.21%       1.354ms       5.208us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           260            --  
                                           data_loading         0.02%     151.000us         0.21%       1.351ms     270.200us       0.000us         0.00%       0.000us       0.000us           0 b      -1.69 Kb      -1.00 Kb      -6.00 Kb             5            --  
